                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7482,                 3.6315,                 1.7971,                0.52425,                0.23857,                 0.1998,                0.08809,                 1.9298,                 2.8265,                 1.8726,             0.00017409,             0.00017409,             0.00017409
                      2,                 1.6053,                 2.1773,                 1.6152,                0.38896,                   0.31,                0.22542,                0.09568,                 1.9657,                 2.3886,                  1.864,             0.00034769,             0.00034769,             0.00034769
                      3,                 1.5706,                 1.9434,                 1.5768,                0.33904,                0.31195,                0.24405,                0.10467,                 2.0177,                 2.4754,                  1.903,             0.00051956,             0.00051956,             0.00051956
                      4,                 1.5803,                 1.8053,                 1.5708,                0.36418,                0.35964,                0.30969,                0.14477,                  1.946,                 2.2179,                 1.8425,             0.00051819,             0.00051819,             0.00051819
                      5,                 1.5428,                 1.6808,                 1.5608,                0.35961,                0.33553,                0.29017,                0.11796,                 2.0394,                 2.2759,                 1.9525,             0.00051819,             0.00051819,             0.00051819
                      6,                 1.5058,                 1.5362,                 1.5111,                0.29965,                0.38481,                0.27916,                0.10968,                 2.1361,                 2.2857,                 1.9934,             0.00051559,             0.00051559,             0.00051559
                      7,                 1.4665,                 1.4621,                 1.4927,                0.30721,                0.32697,                0.26031,                0.11438,                 2.0181,                 2.2742,                 1.8921,             0.00051298,             0.00051298,             0.00051298
                      8,                  1.455,                 1.4067,                 1.4901,                0.36488,                0.32453,                 0.3202,                0.13854,                  2.029,                  2.092,                 1.8851,             0.00051038,             0.00051038,             0.00051038
                      9,                 1.4256,                 1.3387,                 1.4768,                0.35742,                0.37514,                0.32028,                0.14109,                 2.0143,                 2.1311,                 1.9056,             0.00050777,             0.00050777,             0.00050777
                     10,                 1.4168,                 1.3167,                 1.4566,                0.37038,                0.29689,                 0.2806,                0.12345,                 2.1002,                 2.2543,                 1.9467,             0.00050517,             0.00050517,             0.00050517
                     11,                 1.3833,                  1.234,                 1.4271,                0.41319,                0.32618,                0.29583,                0.12294,                 2.1005,                 2.1932,                 1.9547,             0.00050257,             0.00050257,             0.00050257
                     12,                 1.3814,                 1.2231,                  1.425,                0.43019,                0.34376,                0.33315,                0.14821,                 2.0067,                 2.1679,                 1.8944,             0.00049996,             0.00049996,             0.00049996
                     13,                 1.3447,                 1.1417,                 1.4047,                0.30726,                0.37498,                0.30666,                0.13057,                 2.0138,                 2.2018,                 1.8961,             0.00049736,             0.00049736,             0.00049736
                     14,                 1.3269,                 1.0975,                 1.3804,                0.43437,                0.32467,                0.30755,                0.13257,                 2.0241,                 2.0013,                 1.9008,             0.00049476,             0.00049476,             0.00049476
                     15,                 1.3293,                 1.0902,                 1.3814,                0.43746,                0.36233,                0.34204,                0.14581,                 2.0608,                  2.102,                 1.8761,             0.00049215,             0.00049215,             0.00049215
                     16,                  1.298,                 1.0643,                 1.3701,                0.41978,                 0.3758,                0.34024,                0.14783,                 2.0619,                 2.1686,                 1.9435,             0.00048955,             0.00048955,             0.00048955
                     17,                 1.2878,                 1.0357,                 1.3619,                0.43973,                0.32676,                0.31785,                0.14229,                 2.0549,                 2.3103,                 1.9473,             0.00048694,             0.00048694,             0.00048694
                     18,                 1.2583,                0.99625,                 1.3484,                0.51044,                0.30222,                0.33467,                0.14939,                 2.0054,                 2.1195,                 1.9191,             0.00048434,             0.00048434,             0.00048434
                     19,                 1.2603,                0.99425,                 1.3443,                0.41504,                 0.2988,                0.29009,                0.14234,                  2.027,                 2.2224,                 1.9394,             0.00048174,             0.00048174,             0.00048174
                     20,                   1.23,                0.95516,                 1.3224,                0.37857,                0.37816,                0.32069,                0.14917,                 2.0283,                 2.2255,                  1.949,             0.00047913,             0.00047913,             0.00047913
                     21,                 1.2328,                0.94942,                 1.3265,                0.38495,                0.40366,                0.36533,                0.15318,                 2.1053,                 2.0777,                 2.0074,             0.00047653,             0.00047653,             0.00047653
                     22,                 1.2227,                0.93404,                 1.3125,                0.37357,                0.38221,                 0.3299,                0.15213,                 2.0878,                 2.2145,                 2.0108,             0.00047393,             0.00047393,             0.00047393
                     23,                 1.2073,                0.90992,                 1.3109,                0.40629,                0.39318,                0.33238,                 0.1551,                 2.0136,                 2.3047,                 1.9047,             0.00047132,             0.00047132,             0.00047132
                     24,                 1.1709,                0.88819,                 1.2832,                0.42337,                0.34054,                0.33338,                0.15503,                 2.0437,                 2.2542,                 1.9763,             0.00046872,             0.00046872,             0.00046872
                     25,                 1.1894,                0.89494,                 1.2924,                0.49115,                0.33149,                0.34467,                0.15404,                 2.0649,                 2.1719,                 1.9658,             0.00046611,             0.00046611,             0.00046611
