                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8103,                 3.8088,                 1.8469,                0.28159,                0.21315,                0.12506,                  0.052,                 1.9593,                 3.0653,                 1.9086,             0.00017409,             0.00017409,             0.00017409
                      2,                 1.6425,                 2.4456,                 1.6826,                0.20808,                0.27886,                0.16926,                0.06884,                 1.9848,                 2.8757,                 1.9811,             0.00034769,             0.00034769,             0.00034769
                      3,                 1.6633,                 2.2031,                 1.6798,                0.35084,                0.27081,                0.20807,                0.08249,                 2.0629,                 2.4996,                 2.0173,             0.00051956,             0.00051956,             0.00051956
                      4,                 1.6616,                 2.1332,                 1.6937,                0.35507,                0.28292,                 0.2135,                0.08381,                 2.0239,                 2.5585,                 2.0395,             0.00051819,             0.00051819,             0.00051819
                      5,                 1.6325,                 2.0132,                 1.6796,                0.33827,                0.36303,                0.25831,                0.10474,                 2.0256,                 2.3246,                 2.0084,             0.00051819,             0.00051819,             0.00051819
                      6,                 1.6005,                 1.8517,                 1.6451,                0.26297,                0.29841,                0.22772,                0.09276,                 2.1584,                  2.414,                 2.0896,             0.00051559,             0.00051559,             0.00051559
                      7,                 1.5695,                 1.7707,                 1.6313,                0.30539,                0.32863,                0.24988,                0.10261,                 2.0011,                 2.4933,                 1.9493,             0.00051298,             0.00051298,             0.00051298
                      8,                 1.5651,                 1.6982,                 1.6118,                0.27242,                0.31205,                0.25829,                0.10594,                 2.0182,                 2.3394,                 1.9791,             0.00051038,             0.00051038,             0.00051038
                      9,                 1.5224,                 1.6257,                 1.5955,                0.37464,                0.27517,                0.23942,                0.09345,                 2.1825,                 2.4184,                 2.1663,             0.00050777,             0.00050777,             0.00050777
                     10,                 1.5131,                 1.5831,                 1.5818,                0.33186,                0.33508,                0.29487,                0.12041,                 2.1505,                 2.2781,                 2.0607,             0.00050517,             0.00050517,             0.00050517
                     11,                 1.4942,                 1.5059,                 1.5631,                0.33336,                0.31778,                0.25493,                0.10646,                 2.0917,                  2.534,                 1.9903,             0.00050257,             0.00050257,             0.00050257
                     12,                   1.49,                 1.4671,                   1.55,                0.32956,                0.35025,                0.29512,                0.12452,                  2.013,                 2.2448,                 1.9731,             0.00049996,             0.00049996,             0.00049996
                     13,                  1.459,                 1.3831,                  1.531,                  0.287,                0.33926,                0.28301,                0.12282,                 2.0251,                 2.2804,                 1.9696,             0.00049736,             0.00049736,             0.00049736
                     14,                 1.4291,                 1.3287,                 1.5039,                0.38618,                0.34174,                0.33016,                0.13823,                 2.1065,                   2.16,                 2.0294,             0.00049476,             0.00049476,             0.00049476
                     15,                 1.4339,                 1.2965,                 1.5034,                0.35678,                0.31695,                0.28789,                0.11905,                 2.0331,                 2.4708,                 1.9687,             0.00049215,             0.00049215,             0.00049215
                     16,                 1.3995,                 1.2541,                 1.4892,                0.48199,                0.31039,                0.31383,                0.13436,                 2.0434,                 2.2984,                 1.9569,             0.00048955,             0.00048955,             0.00048955
                     17,                 1.3907,                 1.2222,                 1.4765,                0.27884,                0.35238,                0.27297,                0.11702,                 2.1096,                 2.2846,                 2.0334,             0.00048694,             0.00048694,             0.00048694
                     18,                 1.3654,                 1.1805,                 1.4598,                 0.5203,                0.33326,                0.33499,                0.14142,                 2.0248,                 2.1662,                 1.9759,             0.00048434,             0.00048434,             0.00048434
                     19,                   1.35,                 1.1643,                 1.4406,                0.32259,                0.30483,                0.27074,                0.12163,                 2.0639,                 2.3195,                 2.0254,             0.00048174,             0.00048174,             0.00048174
                     20,                 1.3296,                 1.1208,                 1.4291,                0.35945,                0.35122,                0.32761,                 0.1478,                 1.9959,                 2.2328,                 1.9756,             0.00047913,             0.00047913,             0.00047913
                     21,                 1.3364,                  1.127,                 1.4429,                0.37248,                0.34398,                0.31333,                0.13307,                 2.0735,                 2.2392,                 2.0311,             0.00047653,             0.00047653,             0.00047653
                     22,                 1.3205,                 1.1044,                 1.4239,                0.36151,                0.35711,                0.30492,                 0.1347,                 2.0775,                 2.2848,                 2.0335,             0.00047393,             0.00047393,             0.00047393
                     23,                 1.2965,                 1.0659,                 1.4067,                0.38271,                0.38819,                0.34725,                0.15723,                 1.9411,                 2.1675,                 1.9269,             0.00047132,             0.00047132,             0.00047132
                     24,                 1.2639,                 1.0454,                   1.39,                 0.3561,                0.35101,                0.31631,                0.13896,                 2.0916,                 2.2269,                 2.0777,             0.00046872,             0.00046872,             0.00046872
                     25,                 1.2779,                 1.0318,                 1.3902,                0.52064,                0.28834,                0.31927,                0.14738,                 2.0547,                 2.2717,                 2.0082,             0.00046611,             0.00046611,             0.00046611
                     26,                 1.2648,                 1.0085,                 1.3769,                 0.3486,                0.33837,                0.29263,                0.12911,                 2.0905,                 2.2928,                 2.1062,             0.00046351,             0.00046351,             0.00046351
                     27,                 1.2404,                0.99148,                 1.3614,                0.32586,                0.35289,                 0.2816,                0.12647,                 2.0878,                 2.4022,                 2.0769,             0.00046091,             0.00046091,             0.00046091
                     28,                  1.227,                0.95962,                 1.3455,                0.30859,                0.34183,                0.27931,                0.12652,                 2.0589,                 2.3199,                 2.0231,              0.0004583,              0.0004583,              0.0004583
                     29,                 1.2063,                0.93625,                 1.3358,                0.30628,                0.34742,                  0.279,                0.13455,                 2.0242,                 2.3243,                 2.0353,              0.0004557,              0.0004557,              0.0004557
                     30,                 1.1989,                0.92609,                 1.3391,                0.42321,                0.36702,                0.34024,                0.14874,                 2.0198,                 2.1645,                 2.0287,              0.0004531,              0.0004531,              0.0004531
                     31,                 1.1947,                0.89992,                 1.3248,                0.38607,                0.29848,                0.30622,                0.13612,                 2.0501,                 2.3909,                 2.0217,             0.00045049,             0.00045049,             0.00045049
                     32,                 1.1682,                0.87669,                 1.3193,                0.33098,                0.33897,                0.30279,                0.12827,                 2.0819,                 2.2319,                 2.0354,             0.00044789,             0.00044789,             0.00044789
                     33,                 1.1826,                0.89432,                 1.3188,                0.39188,                0.33591,                0.31504,                0.13415,                  2.024,                 2.3721,                 1.9794,             0.00044529,             0.00044529,             0.00044529
                     34,                 1.1534,                0.86868,                 1.2989,                0.38107,                0.31031,                 0.2868,                0.12483,                 2.0994,                 2.3776,                 2.0782,             0.00044268,             0.00044268,             0.00044268
                     35,                 1.1543,                0.85107,                 1.2941,                0.39142,                0.32708,                0.30618,                0.13539,                 2.0704,                 2.2639,                 2.0495,             0.00044008,             0.00044008,             0.00044008
                     36,                 1.1322,                0.82238,                 1.2748,                0.43959,                0.33102,                0.31276,                0.14078,                 2.0574,                 2.3252,                 2.0412,             0.00043747,             0.00043747,             0.00043747
                     37,                 1.1171,                0.81463,                 1.2753,                0.44599,                0.35158,                0.33191,                0.14571,                  2.056,                 2.4121,                 2.0831,             0.00043487,             0.00043487,             0.00043487
                     38,                  1.119,                0.82412,                 1.2823,                0.37836,                0.34973,                0.30412,                0.13539,                    2.1,                 2.3372,                 2.1182,             0.00043227,             0.00043227,             0.00043227
                     39,                 1.1223,                0.80961,                 1.2685,                 0.4612,                0.33671,                 0.3243,                0.14259,                  2.107,                 2.4409,                 2.1167,             0.00042966,             0.00042966,             0.00042966
                     40,                 1.0975,                0.79401,                 1.2568,                0.36967,                0.37137,                0.31685,                0.14184,                 2.0946,                 2.2627,                 2.0398,             0.00042706,             0.00042706,             0.00042706
                     41,                 1.0782,                0.77495,                 1.2486,                0.39634,                0.34197,                 0.3021,                0.13418,                 2.0488,                 2.4293,                 2.0715,             0.00042446,             0.00042446,             0.00042446
                     42,                  1.079,                0.77676,                 1.2399,                0.33897,                0.36257,                0.28975,                0.12511,                 2.1411,                 2.3912,                 2.1151,             0.00042185,             0.00042185,             0.00042185
                     43,                 1.0787,                0.77058,                  1.255,                0.33855,                0.35196,                0.29681,                0.13871,                 2.0638,                 2.3483,                 2.0438,             0.00041925,             0.00041925,             0.00041925
                     44,                 1.0647,                0.75411,                 1.2379,                0.42329,                0.32212,                0.31104,                0.13528,                 2.1321,                 2.3667,                 2.1273,             0.00041664,             0.00041664,             0.00041664
                     45,                 1.0572,                0.74935,                 1.2277,                0.44807,                0.37214,                0.34319,                0.15027,                 2.0675,                 2.3479,                 2.1046,             0.00041404,             0.00041404,             0.00041404
                     46,                 1.0574,                 0.7546,                 1.2334,                0.35289,                0.33848,                0.30223,                0.12813,                 2.1294,                 2.3655,                 2.1244,             0.00041144,             0.00041144,             0.00041144
                     47,                 1.0307,                0.73993,                 1.2117,                0.45738,                0.30424,                0.30701,                0.13726,                 2.0965,                 2.3127,                 2.1404,             0.00040883,             0.00040883,             0.00040883
                     48,                 1.0336,                0.73868,                 1.2168,                0.41153,                0.29793,                0.28109,                0.12788,                 2.0664,                 2.5018,                 2.0724,             0.00040623,             0.00040623,             0.00040623
                     49,                 1.0275,                0.71904,                 1.2128,                0.35459,                0.35948,                0.30119,                0.13474,                 2.0647,                 2.4304,                 2.1067,             0.00040363,             0.00040363,             0.00040363
                     50,                 1.0105,                0.71125,                 1.1961,                0.30199,                0.38254,                0.30847,                0.14137,                 2.0825,                 2.3328,                 2.1258,             0.00040102,             0.00040102,             0.00040102
                     51,                0.99603,                0.69941,                 1.1872,                0.42733,                0.32193,                0.30731,                0.13772,                 2.0869,                 2.3477,                 2.0968,             0.00039842,             0.00039842,             0.00039842
                     52,                 1.0087,                0.69934,                 1.2026,                0.43997,                0.30558,                0.28623,                0.12535,                  2.053,                 2.4396,                 2.0578,             0.00039581,             0.00039581,             0.00039581
                     53,                0.99729,                0.68421,                 1.1875,                0.39351,                0.32183,                0.29599,                0.13468,                 2.0406,                 2.4459,                 2.0569,             0.00039321,             0.00039321,             0.00039321
                     54,                 0.9988,                 0.6921,                 1.1898,                0.32286,                 0.3432,                0.28354,                0.12608,                  2.064,                  2.477,                 2.1199,             0.00039061,             0.00039061,             0.00039061
                     55,                0.98976,                0.68907,                 1.1914,                 0.4158,                0.34363,                0.31283,                0.14098,                 2.0166,                 2.3544,                 2.0234,               0.000388,               0.000388,               0.000388
