                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0703,                 3.1602,                 1.3625,                0.35812,                0.40666,                0.35019,                0.27758,                0.89022,                 3.4824,                 1.3228,             0.00025051,             0.00025051,             0.00025051
                      2,                0.86983,                  1.795,                 1.1749,                0.52733,                0.45908,                0.48769,                0.36172,                 1.1276,                 3.5437,                 1.5425,             0.00050433,             0.00050433,             0.00050433
                      3,                0.88908,                 1.4874,                 1.2018,                0.56853,                0.46945,                0.51398,                0.37188,                 1.1251,                 3.2544,                 1.5349,             0.00075562,             0.00075562,             0.00075562
                      4,                0.87988,                 1.3644,                 1.1864,                0.55223,                0.53058,                 0.5401,                0.38133,                 1.2537,                 2.8118,                 1.7342,             0.00075758,             0.00075758,             0.00075758
                      5,                 0.8636,                 1.2897,                 1.1835,                0.69548,                 0.5804,                0.65279,                0.48991,                 1.0423,                 1.7061,                 1.5173,             0.00075758,             0.00075758,             0.00075758
                      6,                0.84028,                 1.1559,                  1.165,                0.67731,                0.53019,                0.62653,                0.48263,                0.95813,                 1.6231,                 1.4204,             0.00075377,             0.00075377,             0.00075377
                      7,                0.85666,                 1.1721,                 1.1743,                0.65744,                0.58008,                0.60181,                0.46731,                0.96548,                 1.7388,                 1.4457,             0.00074997,             0.00074997,             0.00074997
                      8,                0.83412,                   1.06,                 1.1485,                0.71418,                0.66304,                0.72145,                0.55224,                 1.0001,                 1.4368,                 1.4502,             0.00074616,             0.00074616,             0.00074616
                      9,                0.79967,                 1.0224,                 1.1425,                0.68286,                0.60042,                0.66286,                0.50107,                0.99192,                 1.5267,                 1.4804,             0.00074235,             0.00074235,             0.00074235
                     10,                0.77452,                0.97814,                 1.1283,                0.76453,                0.64704,                0.74241,                0.59129,                0.87618,                 1.3511,                 1.3298,             0.00073855,             0.00073855,             0.00073855
                     11,                0.78398,                0.95868,                 1.1327,                0.73077,                 0.6712,                0.72988,                 0.5755,                 0.9121,                 1.3209,                  1.349,             0.00073474,             0.00073474,             0.00073474
                     12,                  0.787,                0.94067,                 1.1278,                0.71393,                0.66612,                0.72598,                 0.5622,                0.93442,                 1.3614,                 1.3733,             0.00073093,             0.00073093,             0.00073093
                     13,                0.79321,                0.93208,                 1.1202,                0.74897,                0.69973,                0.76213,                0.59149,                0.90784,                 1.2533,                 1.3409,             0.00072713,             0.00072713,             0.00072713
                     14,                0.77176,                0.90234,                 1.1221,                0.70697,                0.68356,                0.74794,                0.57962,                0.93654,                 1.3186,                 1.3644,             0.00072332,             0.00072332,             0.00072332
                     15,                0.70422,                0.80827,                  1.093,                 0.7289,                0.69016,                0.74806,                0.59538,                 0.8663,                 1.2519,                 1.3111,             0.00071951,             0.00071951,             0.00071951
                     16,                0.72093,                 0.8002,                 1.0899,                 0.7778,                0.68809,                0.76696,                0.62129,                0.88327,                 1.2125,                 1.3174,             0.00071571,             0.00071571,             0.00071571
                     17,                0.74921,                0.85941,                 1.1042,                0.77644,                0.69738,                0.77684,                0.62789,                0.83345,                 1.1919,                 1.2677,              0.0007119,              0.0007119,              0.0007119
                     18,                0.72902,                0.79416,                 1.0997,                0.77078,                 0.7356,                0.78413,                0.63451,                0.82404,                 1.0679,                 1.2554,              0.0007081,              0.0007081,              0.0007081
