                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1112,                 4.5302,                 4.1649,                0.00168,                0.34074,                0.00197,                0.00067,                 2.6501,                 4.1115,                 4.1144,             0.00025051,             0.00025051,             0.00025051
                      2,                 2.9963,                 4.0341,                 3.8324,                0.00371,                0.35532,                0.00585,                0.00152,                  2.926,                 4.7087,                 4.0223,             0.00050433,             0.00050433,             0.00050433
                      3,                 2.6614,                 3.6158,                 3.4214,                0.56312,                0.03823,                0.01204,                0.00304,                 3.0988,                 28.011,                 6.2005,             0.00075562,             0.00075562,             0.00075562
                      4,                 2.4285,                 3.4108,                 3.0882,                 0.6011,                0.02748,                0.04108,                0.01115,                 2.5877,                 4.1934,                 3.5029,             0.00075758,             0.00075758,             0.00075758
                      5,                 2.2119,                 3.1978,                 2.8305,                0.16801,                0.22185,                0.11015,                0.05381,                 2.0817,                 3.4566,                 3.1299,             0.00075758,             0.00075758,             0.00075758
                      6,                 2.0041,                 2.9968,                 2.6163,                0.11267,                0.28406,                0.12458,                0.06327,                 1.9611,                 4.0385,                  2.888,             0.00075377,             0.00075377,             0.00075377
                      7,                 1.8977,                 2.9326,                 2.4886,                0.17463,                0.25721,                 0.1366,                0.07623,                 1.8725,                 3.4062,                 2.7991,             0.00074997,             0.00074997,             0.00074997
                      8,                 1.8036,                 2.8509,                  2.384,                 0.1531,                0.26414,                0.14025,                0.07579,                 1.7801,                 3.8444,                  2.638,             0.00074616,             0.00074616,             0.00074616
                      9,                 1.6585,                 2.7465,                 2.2579,                0.20932,                0.30701,                0.17308,                0.10643,                 1.6268,                 2.9091,                 2.5065,             0.00074235,             0.00074235,             0.00074235
                     10,                 1.5866,                 2.6449,                 2.1751,                0.14332,                0.29065,                0.14845,                0.08815,                 1.6405,                   3.12,                 2.4945,             0.00073855,             0.00073855,             0.00073855
                     11,                 1.5574,                 2.5637,                 2.1296,                0.23069,                0.30927,                0.18578,                0.11234,                 1.5567,                 2.8847,                 2.3847,             0.00073474,             0.00073474,             0.00073474
                     12,                  1.496,                 2.5013,                 2.0962,                0.20803,                0.30821,                0.21761,                 0.1407,                 1.5064,                 3.2332,                 2.3099,             0.00073093,             0.00073093,             0.00073093
                     13,                  1.484,                 2.4445,                 2.0411,                0.24217,                0.32492,                0.23082,                0.15257,                 1.4758,                 2.8019,                 2.2579,             0.00072713,             0.00072713,             0.00072713
                     14,                 1.4104,                 2.3939,                 1.9861,                0.25242,                0.34077,                 0.2616,                0.17787,                 1.4143,                 2.8982,                 2.2197,             0.00072332,             0.00072332,             0.00072332
                     15,                 1.3509,                 2.3291,                 1.9468,                  0.297,                0.32419,                0.26109,                0.17995,                 1.3754,                 2.5647,                 2.1635,             0.00071951,             0.00071951,             0.00071951
                     16,                 1.3526,                 2.2679,                 1.9351,                 0.3146,                0.34167,                0.28667,                0.19181,                 1.4111,                 2.5394,                 2.2106,             0.00071571,             0.00071571,             0.00071571
                     17,                 1.3782,                 2.2806,                  1.934,                0.32536,                0.36148,                 0.3136,                0.21214,                 1.3871,                 2.4909,                 2.1892,              0.0007119,              0.0007119,              0.0007119
                     18,                 1.3039,                 2.2033,                  1.865,                0.29473,                0.36016,                0.30621,                0.20857,                 1.3356,                 2.5224,                 2.1086,              0.0007081,              0.0007081,              0.0007081
                     19,                 1.2913,                 2.1748,                 1.8497,                 0.3717,                0.36951,                 0.3325,                0.24216,                 1.3127,                 2.4252,                 2.1281,             0.00070429,             0.00070429,             0.00070429
                     20,                 1.2512,                 2.0705,                  1.819,                0.30093,                0.38391,                0.30774,                0.21534,                 1.2956,                 2.3163,                 2.0723,             0.00070048,             0.00070048,             0.00070048
                     21,                 1.2521,                 2.0718,                 1.8135,                0.40742,                  0.416,                0.36184,                0.25007,                 1.2784,                 2.3239,                 2.0277,             0.00069668,             0.00069668,             0.00069668
                     22,                 1.2429,                   2.08,                 1.8257,                0.37677,                0.36024,                0.35102,                0.24709,                 1.2457,                 2.3747,                 1.9648,             0.00069287,             0.00069287,             0.00069287
                     23,                 1.2234,                 2.0115,                 1.7693,                0.42145,                0.36046,                0.37568,                0.26463,                 1.2838,                 2.2451,                 2.0466,             0.00068906,             0.00068906,             0.00068906
                     24,                 1.2033,                 2.0024,                  1.748,                0.34539,                0.35552,                0.32523,                0.22578,                 1.2629,                 2.3575,                 1.9799,             0.00068526,             0.00068526,             0.00068526
                     25,                 1.2005,                 1.9431,                 1.7458,                0.37669,                0.39953,                0.37759,                 0.2654,                 1.2351,                 2.2504,                 1.9642,             0.00068145,             0.00068145,             0.00068145
                     26,                 1.2114,                  1.927,                 1.7377,                0.48499,                0.43621,                0.43133,                0.30886,                 1.2225,                  2.096,                 1.9604,             0.00067764,             0.00067764,             0.00067764
