                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.93999,                 2.7149,                 1.2087,                0.50377,                0.58097,                 0.5238,                0.41762,                0.73934,                 2.5828,                 1.1496,             0.00025051,             0.00025051,             0.00025051
                      2,                0.80131,                  1.402,                 1.1119,                0.67993,                0.67896,                0.72382,                0.58734,                0.72419,                 1.6303,                 1.1611,             0.00050433,             0.00050433,             0.00050433
                      3,                0.78163,                 1.1139,                 1.1023,                0.69114,                0.66393,                0.73123,                0.57377,                0.83558,                  1.551,                 1.2337,             0.00075562,             0.00075562,             0.00075562
                      4,                0.78397,                 1.0434,                 1.1089,                0.73156,                0.69083,                0.75034,                0.58905,                0.88432,                 1.3999,                 1.2943,             0.00075758,             0.00075758,             0.00075758
                      5,                0.76462,                0.97884,                 1.0951,                0.76593,                0.69273,                0.76978,                0.60901,                0.81967,                 1.2366,                 1.2613,             0.00075758,             0.00075758,             0.00075758
                      6,                0.73768,                0.88491,                 1.0867,                0.77591,                0.69348,                0.76676,                0.61074,                0.81408,                 1.1657,                 1.2586,             0.00075377,             0.00075377,             0.00075377
                      7,                0.74038,                0.91068,                 1.0934,                0.78592,                 0.6931,                0.78153,                0.62776,                0.76769,                 1.1025,                 1.1984,             0.00074997,             0.00074997,             0.00074997
                      8,                 0.7394,                 0.8442,                 1.0795,                0.75861,                0.70759,                0.79228,                0.63427,                0.81163,                 1.3457,                 1.2516,             0.00074616,             0.00074616,             0.00074616
                      9,                0.70588,                0.79737,                 1.0722,                0.78685,                0.70912,                0.80583,                 0.6503,                0.77285,                 1.0931,                 1.2253,             0.00074235,             0.00074235,             0.00074235
                     10,                0.70289,                0.76358,                 1.0686,                0.82867,                0.72807,                0.82417,                0.67404,                0.74595,                0.96379,                 1.1928,             0.00073855,             0.00073855,             0.00073855
                     11,                 0.7075,                0.74038,                 1.0746,                0.80092,                0.73731,                0.82983,                0.67655,                0.74702,                0.98178,                 1.1809,             0.00073474,             0.00073474,             0.00073474
                     12,                0.71895,                0.76548,                 1.0759,                0.76558,                0.72811,                0.80685,                0.64092,                0.81908,                 1.1141,                 1.2551,             0.00073093,             0.00073093,             0.00073093
                     13,                0.70814,                0.72692,                 1.0584,                0.82097,                0.75314,                0.83041,                0.68854,                0.72408,                0.93382,                 1.1606,             0.00072713,             0.00072713,             0.00072713
                     14,                0.69903,                0.71028,                 1.0684,                0.81052,                0.73918,                0.82201,                0.67624,                0.75258,                 1.0018,                 1.1844,             0.00072332,             0.00072332,             0.00072332
                     15,                0.63462,                0.66488,                 1.0453,                0.80871,                0.75858,                0.84249,                0.69748,                0.73507,                0.97168,                 1.1846,             0.00071951,             0.00071951,             0.00071951
                     16,                0.64674,                0.66034,                 1.0441,                0.78684,                0.75001,                0.81689,                0.68272,                0.74829,                 1.0257,                 1.1909,             0.00071571,             0.00071571,             0.00071571
                     17,                0.67431,                0.68009,                 1.0509,                0.79908,                0.71008,                0.78627,                0.65738,                0.72489,                 1.1318,                  1.172,              0.0007119,              0.0007119,              0.0007119
                     18,                0.65014,                0.64727,                 1.0462,                0.79258,                0.70165,                0.78828,                0.65537,                0.74393,                 1.0595,                 1.1707,              0.0007081,              0.0007081,              0.0007081
                     19,                0.66009,                0.64132,                 1.0409,                0.81728,                0.66653,                0.79671,                0.66715,                0.72865,                 1.0791,                 1.1718,             0.00070429,             0.00070429,             0.00070429
                     20,                0.64259,                0.65262,                 1.0373,                0.81903,                0.76116,                0.83983,                 0.7024,                0.71523,                0.94537,                 1.1541,             0.00070048,             0.00070048,             0.00070048
                     21,                0.65013,                0.64796,                 1.0481,                0.76577,                0.74181,                0.80364,                0.66152,                0.77472,                 1.0426,                 1.2146,             0.00069668,             0.00069668,             0.00069668
                     22,                0.62896,                0.61064,                 1.0341,                0.83266,                0.73941,                0.82622,                0.68725,                 0.7356,                0.99403,                 1.1708,             0.00069287,             0.00069287,             0.00069287
                     23,                0.63367,                0.62111,                 1.0396,                0.80905,                0.75838,                0.83669,                0.69352,                0.71913,                0.89973,                  1.162,             0.00068906,             0.00068906,             0.00068906
                     24,                0.63499,                   0.61,                 1.0404,                0.81152,                0.70748,                0.79229,                0.65041,                0.77471,                 1.0768,                 1.2117,             0.00068526,             0.00068526,             0.00068526
                     25,                0.64218,                 0.5987,                 1.0412,                0.83361,                0.73087,                0.83278,                0.69945,                0.71232,                0.95748,                 1.1563,             0.00068145,             0.00068145,             0.00068145
                     26,                0.64376,                0.59719,                 1.0361,                0.79814,                0.73147,                0.81954,                 0.6781,                0.73612,                 1.0043,                 1.1785,             0.00067764,             0.00067764,             0.00067764
                     27,                0.63154,                0.59277,                 1.0234,                0.80859,                0.73337,                0.82079,                0.70058,                0.70233,                0.95706,                 1.1453,             0.00067384,             0.00067384,             0.00067384
                     28,                0.59941,                0.57249,                 1.0165,                0.82295,                0.75495,                0.83666,                0.70739,                0.69656,                0.90022,                 1.1357,             0.00067003,             0.00067003,             0.00067003
                     29,                0.60721,                0.58958,                 1.0274,                0.83038,                  0.761,                0.83984,                0.70302,                0.71762,                0.96045,                 1.1651,             0.00066622,             0.00066622,             0.00066622
                     30,                0.62295,                0.56638,                  1.035,                0.79873,                 0.7401,                0.82735,                0.69044,                0.75716,                0.97231,                 1.2006,             0.00066242,             0.00066242,             0.00066242
                     31,                0.63077,                0.57349,                 1.0241,                 0.8302,                0.77064,                0.84878,                0.72163,                0.69547,                0.92819,                 1.1373,             0.00065861,             0.00065861,             0.00065861
                     32,                0.62103,                0.56539,                 1.0353,                0.81665,                0.76262,                 0.8359,                0.70849,                0.70139,                 1.0043,                 1.1342,              0.0006548,              0.0006548,              0.0006548
                     33,                0.61464,                0.54309,                 1.0279,                0.83821,                0.76839,                0.84121,                 0.7064,                0.73115,                0.93538,                 1.1834,               0.000651,               0.000651,               0.000651
                     34,                0.59906,                0.52752,                 1.0123,                0.81957,                0.76262,                0.84398,                0.71376,                0.68746,                0.92913,                 1.1349,             0.00064719,             0.00064719,             0.00064719
                     35,                0.59278,                0.53215,                 1.0213,                 0.8226,                0.77285,                0.83946,                0.70714,                0.69833,                0.91162,                 1.1532,             0.00064338,             0.00064338,             0.00064338
                     36,                0.60176,                0.55496,                  1.027,                0.83207,                0.74157,                0.83061,                0.70019,                0.69908,                0.96351,                 1.1392,             0.00063958,             0.00063958,             0.00063958
                     37,                0.60828,                0.54359,                  1.012,                0.82869,                0.77067,                0.84618,                0.72015,                 0.6947,                0.90381,                 1.1415,             0.00063577,             0.00063577,             0.00063577
                     38,                0.61213,                0.54196,                 1.0306,                0.84374,                0.78393,                0.85866,                0.72797,                0.68706,                0.86983,                 1.1382,             0.00063196,             0.00063196,             0.00063196
                     39,                 0.5893,                0.53873,                 1.0148,                0.80028,                0.77575,                0.83311,                 0.7013,                 0.7225,                0.95169,                 1.1658,             0.00062816,             0.00062816,             0.00062816
                     40,                 0.5962,                0.55197,                 1.0121,                0.83594,                0.74019,                0.83592,                0.71168,                0.68042,                0.90729,                 1.1319,             0.00062435,             0.00062435,             0.00062435
                     41,                0.56219,                0.51244,                 1.0035,                0.85986,                0.73248,                0.82806,                0.70323,                0.69945,                  1.002,                 1.1439,             0.00062054,             0.00062054,             0.00062054
                     42,                0.58014,                0.50573,                 1.0103,                0.85484,                0.75962,                0.85099,                0.71732,                0.71145,                0.93303,                  1.159,             0.00061674,             0.00061674,             0.00061674
                     43,                  0.566,                0.50066,                0.99493,                0.83174,                0.78183,                0.84174,                0.71126,                0.71476,                0.92467,                 1.1697,             0.00061293,             0.00061293,             0.00061293
                     44,                0.58009,                 0.4932,                 1.0077,                0.82219,                0.76186,                0.83858,                0.70688,                0.71869,                0.91579,                 1.1626,             0.00060912,             0.00060912,             0.00060912
                     45,                0.57681,                0.48215,                 1.0097,                0.83682,                0.74477,                0.83915,                0.70992,                0.70969,                0.89224,                 1.1453,             0.00060532,             0.00060532,             0.00060532
                     46,                0.58511,                0.52435,                 1.0142,                0.84746,                0.75675,                0.84173,                0.71429,                0.71022,                0.91486,                 1.1681,             0.00060151,             0.00060151,             0.00060151
