                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.14,                 3.1061,                 1.3284,                0.41362,                0.50237,                0.42857,                0.29512,                  1.062,                 2.6038,                 1.4387,             0.00025051,             0.00025051,             0.00025051
                      2,                 1.1406,                 1.9137,                 1.2861,                0.52877,                0.56678,                0.54951,                0.37135,                 1.0553,                 1.8655,                 1.4376,             0.00050433,             0.00050433,             0.00050433
                      3,                 1.1045,                 1.6534,                  1.279,                0.56881,                0.56819,                0.57811,                0.39736,                 1.0372,                 1.6401,                 1.4102,             0.00075562,             0.00075562,             0.00075562
                      4,                 1.1265,                 1.5679,                 1.2915,                 0.5887,                0.59624,                  0.616,                0.42337,                 1.0294,                 1.4943,                 1.3934,             0.00075758,             0.00075758,             0.00075758
                      5,                 1.0939,                 1.5114,                 1.2777,                0.64553,                0.56603,                0.62754,                0.43498,                 1.0152,                 1.5308,                  1.393,             0.00075758,             0.00075758,             0.00075758
                      6,                  1.067,                 1.4327,                 1.2635,                0.64961,                0.58198,                0.63761,                0.44423,                 1.0205,                 1.4621,                 1.3988,             0.00075377,             0.00075377,             0.00075377
                      7,                 1.0756,                 1.4346,                 1.2724,                0.59619,                0.61874,                0.64939,                0.45462,                 1.0237,                 1.3754,                  1.397,             0.00074997,             0.00074997,             0.00074997
                      8,                 1.0747,                 1.3766,                 1.2603,                0.61241,                0.60192,                0.65129,                0.45806,                0.99864,                 1.3794,                 1.3868,             0.00074616,             0.00074616,             0.00074616
                      9,                 1.0543,                 1.3687,                 1.2642,                0.64541,                0.62102,                 0.6622,                0.46718,                0.99898,                 1.3551,                 1.3739,             0.00074235,             0.00074235,             0.00074235
                     10,                 1.0394,                 1.3601,                 1.2515,                0.66081,                 0.6168,                0.67787,                0.47936,                0.99484,                 1.3276,                 1.3721,             0.00073855,             0.00073855,             0.00073855
                     11,                 1.0367,                 1.3233,                 1.2537,                0.66778,                0.63604,                0.68776,                0.48169,                  1.011,                 1.3088,                 1.3907,             0.00073474,             0.00073474,             0.00073474
                     12,                 1.0367,                 1.3157,                 1.2529,                 0.6329,                0.63492,                0.66579,                0.47111,                 1.0052,                 1.3171,                 1.3784,             0.00073093,             0.00073093,             0.00073093
                     13,                 1.0421,                 1.2886,                 1.2438,                0.66197,                0.63223,                0.68608,                0.48908,                 0.9851,                 1.2951,                 1.3645,             0.00072713,             0.00072713,             0.00072713
                     14,                 1.0479,                 1.2867,                 1.2658,                0.63103,                0.66057,                0.68014,                0.48273,                0.98353,                 1.2647,                  1.366,             0.00072332,             0.00072332,             0.00072332
                     15,                 1.0099,                 1.2653,                 1.2506,                0.67911,                0.63046,                0.69699,                0.49686,                0.98329,                 1.2667,                 1.3665,             0.00071951,             0.00071951,             0.00071951
                     16,                 1.0211,                 1.2335,                 1.2395,                0.65541,                0.64331,                0.69484,                0.49586,                0.98491,                 1.2659,                 1.3622,             0.00071571,             0.00071571,             0.00071571
                     17,                 1.0406,                 1.2736,                 1.2513,                0.63465,                0.64957,                0.68484,                0.48844,                0.99679,                 1.2833,                 1.3738,              0.0007119,              0.0007119,              0.0007119
                     18,                 1.0228,                 1.2412,                 1.2471,                0.64963,                 0.6672,                0.70065,                0.49636,                0.99389,                 1.2423,                 1.3666,              0.0007081,              0.0007081,              0.0007081
                     19,                 1.0128,                 1.2285,                 1.2378,                0.64746,                0.64795,                0.68635,                0.49079,                0.97865,                 1.2713,                 1.3562,             0.00070429,             0.00070429,             0.00070429
                     20,                 1.0065,                 1.2075,                 1.2297,                0.66114,                0.65682,                0.70646,                 0.5013,                0.99787,                 1.2225,                 1.3642,             0.00070048,             0.00070048,             0.00070048
                     21,                 1.0146,                 1.2482,                 1.2478,                0.66599,                0.64769,                0.69823,                0.49845,                  0.968,                 1.2691,                 1.3539,             0.00069668,             0.00069668,             0.00069668
                     22,                 1.0002,                 1.2101,                 1.2422,                0.68685,                0.64249,                0.70603,                0.50322,                0.98018,                  1.231,                 1.3634,             0.00069287,             0.00069287,             0.00069287
                     23,                 1.0069,                 1.2283,                 1.2469,                0.63992,                0.67114,                 0.6995,                    0.5,                 0.9819,                 1.2544,                 1.3514,             0.00068906,             0.00068906,             0.00068906
                     24,                 1.0107,                 1.2033,                 1.2431,                0.70934,                0.64576,                0.70678,                0.50816,                0.97104,                 1.2426,                 1.3509,             0.00068526,             0.00068526,             0.00068526
                     25,                 1.0088,                 1.2051,                 1.2387,                0.65564,                 0.6529,                0.68774,                0.49201,                0.98713,                 1.2742,                 1.3721,             0.00068145,             0.00068145,             0.00068145
                     26,                 1.0117,                 1.1964,                 1.2368,                 0.6945,                0.64339,                0.70796,                0.50185,                0.99225,                  1.236,                 1.3687,             0.00067764,             0.00067764,             0.00067764
                     27,                 1.0107,                 1.1906,                 1.2324,                0.66434,                0.65849,                0.69325,                0.49444,                0.97265,                 1.2436,                 1.3459,             0.00067384,             0.00067384,             0.00067384
                     28,                0.99517,                 1.1826,                 1.2318,                 0.6412,                0.67649,                0.69995,                0.49969,                0.97352,                 1.2165,                 1.3399,             0.00067003,             0.00067003,             0.00067003
                     29,                0.99534,                 1.1809,                 1.2421,                0.71273,                0.64825,                 0.7283,                0.52189,                0.97595,                   1.18,                 1.3429,             0.00066622,             0.00066622,             0.00066622
