                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9813,                 2.8431,                 1.2329,                0.41993,                0.54308,                 0.4654,                0.36321,                0.78374,                 2.5602,                 1.1922,             0.00025051,             0.00025051,             0.00025051
                      2,                0.83503,                 1.6036,                 1.1373,                0.61655,                0.62565,                0.63508,                0.49928,                0.77155,                 1.7342,                 1.2227,             0.00050433,             0.00050433,             0.00050433
                      3,                0.79586,                 1.2919,                 1.1161,                0.70368,                0.66559,                0.72712,                0.57191,                0.78413,                 1.3705,                  1.198,             0.00075562,             0.00075562,             0.00075562
                      4,                0.77996,                 1.1385,                 1.1069,                0.68259,                0.70547,                 0.7448,                0.59956,                0.77978,                 1.2292,                 1.2157,             0.00075758,             0.00075758,             0.00075758
                      5,                0.76499,                 1.0815,                 1.0998,                0.74256,                0.66949,                0.76749,                0.62007,                  0.768,                 1.1756,                 1.1984,             0.00075758,             0.00075758,             0.00075758
                      6,                0.73483,                0.97897,                 1.0786,                0.70729,                0.69564,                0.75568,                0.61067,                0.75199,                 1.1331,                 1.1852,             0.00075377,             0.00075377,             0.00075377
                      7,                0.73158,                0.96185,                 1.0883,                0.75405,                0.70565,                0.79079,                0.63835,                0.76761,                  1.061,                 1.2001,             0.00074997,             0.00074997,             0.00074997
                      8,                0.73752,                0.88884,                 1.0733,                0.76493,                0.72814,                0.79491,                 0.6388,                 0.7608,                 1.0611,                 1.2012,             0.00074616,             0.00074616,             0.00074616
                      9,                0.70076,                0.84532,                 1.0624,                0.77568,                0.71624,                0.80472,                0.65533,                0.73763,                 1.0277,                 1.1703,             0.00074235,             0.00074235,             0.00074235
                     10,                0.68829,                0.82715,                 1.0577,                0.76502,                0.74964,                0.81483,                0.66542,                0.74333,                 0.9835,                 1.1653,             0.00073855,             0.00073855,             0.00073855
