                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5402,                 3.8546,                 1.8956,                0.36816,                0.09015,                0.05314,                0.02636,                 1.3773,                 3.6183,                 1.9147,             0.00025051,             0.00025051,             0.00025051
                      2,                 1.3435,                  3.213,                 1.6974,                 0.1565,                0.30666,                 0.1235,                0.07717,                 1.2819,                 3.1949,                 1.8532,             0.00050433,             0.00050433,             0.00050433
                      3,                 1.2728,                 2.6536,                  1.632,                0.22127,                0.35237,                0.22466,                0.14171,                 1.2085,                 2.8005,                 1.7616,             0.00075562,             0.00075562,             0.00075562
                      4,                 1.2424,                 2.4329,                 1.6017,                0.26336,                 0.3952,                0.29107,                0.19456,                 1.1726,                 2.5144,                 1.7117,             0.00075758,             0.00075758,             0.00075758
                      5,                 1.1983,                 2.3114,                 1.5679,                0.41536,                0.41338,                0.37181,                0.26089,                 1.1474,                 2.2692,                 1.7076,             0.00075758,             0.00075758,             0.00075758
                      6,                 1.1778,                  2.179,                 1.5472,                0.35672,                0.42539,                0.36571,                0.25862,                 1.1195,                  2.208,                 1.6438,             0.00075377,             0.00075377,             0.00075377
                      7,                 1.1541,                 2.1084,                  1.538,                0.51682,                0.44318,                0.44004,                0.31369,                 1.0888,                  2.059,                 1.6317,             0.00074997,             0.00074997,             0.00074997
                      8,                 1.1385,                 2.0048,                 1.5023,                0.54752,                 0.4421,                0.46266,                0.32696,                  1.133,                 2.0152,                  1.673,             0.00074616,             0.00074616,             0.00074616
                      9,                 1.0816,                 1.9223,                 1.4676,                0.46888,                0.48928,                0.46343,                0.34267,                  1.063,                 1.9036,                 1.5807,             0.00074235,             0.00074235,             0.00074235
                     10,                 1.0679,                 1.8681,                 1.4424,                 0.5323,                0.46901,                0.47886,                0.34689,                 1.0607,                 1.8564,                 1.5674,             0.00073855,             0.00073855,             0.00073855
                     11,                 1.0697,                 1.7774,                 1.4443,                 0.5802,                0.51456,                0.53736,                0.39226,                  1.074,                 1.8027,                 1.5902,             0.00073474,             0.00073474,             0.00073474
                     12,                 1.0709,                 1.7089,                 1.4436,                0.62961,                0.47816,                0.54924,                0.40553,                 1.0261,                 1.7304,                 1.5412,             0.00073093,             0.00073093,             0.00073093
                     13,                 1.0522,                 1.6679,                 1.4183,                0.64494,                0.52902,                0.58806,                0.43409,                 1.0333,                 1.6556,                 1.5387,             0.00072713,             0.00072713,             0.00072713
                     14,                 1.0248,                 1.6097,                 1.4049,                0.65008,                0.54669,                 0.6009,                0.44492,                 1.0333,                 1.6438,                 1.5472,             0.00072332,             0.00072332,             0.00072332
                     15,                 0.9728,                 1.5635,                 1.3826,                0.71822,                0.54676,                0.62679,                0.46984,                  1.031,                 1.5863,                 1.5403,             0.00071951,             0.00071951,             0.00071951
                     16,                0.99394,                 1.5047,                 1.3841,                 0.7083,                0.55253,                0.63233,                  0.471,                 1.0014,                 1.5554,                 1.5085,             0.00071571,             0.00071571,             0.00071571
                     17,                 1.0443,                 1.5699,                 1.4166,                0.68696,                0.58739,                0.65527,                0.49445,                0.98458,                 1.5855,                 1.4852,              0.0007119,              0.0007119,              0.0007119
                     18,                0.98659,                 1.4614,                 1.3783,                0.66006,                0.56171,                0.64479,                 0.4819,                 1.0109,                 1.5339,                 1.5003,              0.0007081,              0.0007081,              0.0007081
                     19,                0.99616,                 1.4433,                 1.3828,                0.70211,                0.58199,                0.66603,                 0.5003,                0.98986,                 1.4632,                 1.4873,             0.00070429,             0.00070429,             0.00070429
                     20,                0.95084,                 1.3796,                 1.3495,                0.71384,                0.60687,                  0.685,                0.50587,                0.99331,                 1.4703,                 1.4804,             0.00070048,             0.00070048,             0.00070048
                     21,                0.96398,                  1.401,                 1.3598,                0.71017,                0.60541,                0.68269,                0.51185,                0.99198,                 1.4518,                 1.4788,             0.00069668,             0.00069668,             0.00069668
                     22,                0.94357,                 1.3537,                 1.3418,                0.72977,                0.61164,                0.69463,                0.52212,                0.98444,                 1.4423,                 1.4812,             0.00069287,             0.00069287,             0.00069287
                     23,                0.95184,                 1.3343,                  1.351,                0.77427,                0.55937,                0.68497,                0.52211,                0.98033,                 1.4384,                 1.4681,             0.00068906,             0.00068906,             0.00068906
                     24,                0.94799,                 1.3205,                  1.346,                0.73044,                0.59742,                0.69551,                0.52904,                0.95606,                 1.3919,                  1.447,             0.00068526,             0.00068526,             0.00068526
                     25,                0.94733,                 1.3071,                 1.3526,                0.74272,                0.61343,                 0.7059,                0.53113,                0.97911,                  1.417,                 1.4625,             0.00068145,             0.00068145,             0.00068145
                     26,                 0.9606,                 1.3061,                 1.3491,                0.69933,                0.59259,                0.67882,                 0.5236,                 0.9433,                 1.4041,                 1.4377,             0.00067764,             0.00067764,             0.00067764
                     27,                0.94469,                 1.3123,                 1.3319,                 0.7523,                0.59829,                0.67949,                0.51941,                0.97713,                 1.4937,                 1.4629,             0.00067384,             0.00067384,             0.00067384
                     28,                0.89281,                 1.2612,                 1.3115,                0.73273,                0.63331,                0.71831,                 0.5493,                0.94179,                   1.34,                 1.4356,             0.00067003,             0.00067003,             0.00067003
                     29,                0.90824,                 1.2422,                  1.324,                0.74768,                0.60885,                0.69217,                0.54025,                0.93847,                 1.4823,                 1.4237,             0.00066622,             0.00066622,             0.00066622
                     30,                0.91838,                 1.2225,                 1.3261,                0.77875,                0.58346,                0.71005,                0.54376,                 0.9409,                 1.3509,                 1.4203,             0.00066242,             0.00066242,             0.00066242
                     31,                 0.9275,                 1.2024,                 1.3213,                 0.7373,                0.65199,                0.73393,                0.56368,                0.93496,                  1.302,                 1.4201,             0.00065861,             0.00065861,             0.00065861
                     32,                0.91798,                 1.2169,                 1.3371,                0.74422,                0.62334,                0.71651,                 0.5545,                0.93824,                 1.3464,                 1.4283,              0.0006548,              0.0006548,              0.0006548
                     33,                0.90912,                 1.1771,                 1.3196,                0.75185,                0.64384,                0.72911,                0.56503,                0.91692,                 1.3492,                 1.4111,               0.000651,               0.000651,               0.000651
                     34,                0.88792,                 1.1674,                 1.3044,                0.75238,                0.63305,                0.72215,                 0.5469,                0.95389,                 1.3432,                 1.4277,             0.00064719,             0.00064719,             0.00064719
                     35,                0.89136,                 1.1406,                  1.311,                0.75295,                0.64181,                0.73328,                0.56532,                 0.9358,                 1.2827,                 1.4258,             0.00064338,             0.00064338,             0.00064338
                     36,                0.87943,                 1.1495,                 1.3056,                0.78016,                0.64431,                0.74568,                0.57853,                0.92949,                 1.2713,                 1.4145,             0.00063958,             0.00063958,             0.00063958
                     37,                0.89828,                 1.1492,                 1.3008,                0.71965,                0.63531,                0.71776,                 0.5549,                0.92104,                  1.344,                 1.4117,             0.00063577,             0.00063577,             0.00063577
                     38,                0.89403,                 1.1627,                 1.3113,                0.77072,                0.64738,                0.74498,                0.58159,                0.91934,                 1.2546,                 1.4045,             0.00063196,             0.00063196,             0.00063196
                     39,                0.86069,                 1.1128,                 1.2816,                0.77084,                0.61124,                0.72181,                0.56658,                0.91312,                 1.3015,                 1.3972,             0.00062816,             0.00062816,             0.00062816
                     40,                0.87837,                 1.1072,                 1.2832,                0.77823,                0.64976,                 0.7485,                0.58028,                0.93165,                 1.2463,                 1.4169,             0.00062435,             0.00062435,             0.00062435
                     41,                0.83558,                 1.0537,                 1.2622,                0.77923,                0.64651,                0.75579,                0.58525,                0.91533,                 1.2126,                 1.4132,             0.00062054,             0.00062054,             0.00062054
                     42,                0.84658,                 1.0453,                 1.2705,                0.80008,                0.62636,                0.74489,                0.58437,                0.89905,                 1.2669,                 1.3949,             0.00061674,             0.00061674,             0.00061674
                     43,                0.84863,                  1.056,                 1.2653,                0.75431,                 0.6506,                0.74068,                0.58554,                0.89791,                 1.2686,                 1.3874,             0.00061293,             0.00061293,             0.00061293
                     44,                0.85675,                  1.046,                 1.2766,                0.77695,                 0.6506,                0.74354,                0.57417,                 0.9128,                 1.2308,                 1.3883,             0.00060912,             0.00060912,             0.00060912
                     45,                0.84334,                 1.0477,                 1.2651,                 0.7639,                0.62773,                0.72369,                0.56061,                 0.9342,                 1.2662,                 1.4017,             0.00060532,             0.00060532,             0.00060532
                     46,                0.84758,                 1.0476,                 1.2703,                0.81056,                0.63555,                0.75099,                0.59406,                0.89075,                 1.2401,                 1.3646,             0.00060151,             0.00060151,             0.00060151
                     47,                0.82088,                 1.0097,                 1.2474,                0.74787,                0.63909,                0.74043,                0.58442,                0.90772,                 1.2606,                 1.3835,             0.00059771,             0.00059771,             0.00059771
                     48,                0.87259,                  1.067,                  1.279,                0.79686,                0.64719,                0.74597,                0.58173,                0.91328,                 1.2662,                 1.3887,              0.0005939,              0.0005939,              0.0005939
                     49,                0.82988,                0.98992,                 1.2523,                0.76192,                0.64242,                0.74325,                0.58453,                0.88735,                 1.2499,                 1.3786,             0.00059009,             0.00059009,             0.00059009
                     50,                0.82241,                0.96644,                 1.2374,                0.78088,                 0.6333,                0.74557,                0.58811,                0.89923,                 1.2749,                 1.3763,             0.00058629,             0.00058629,             0.00058629
                     51,                0.82542,                0.98866,                 1.2632,                0.78453,                0.61863,                0.73253,                0.57134,                 0.9158,                 1.3511,                 1.3844,             0.00058248,             0.00058248,             0.00058248
                     52,                0.79498,                0.97299,                 1.2376,                 0.8038,                0.64916,                0.76539,                0.59946,                0.90206,                  1.167,                 1.3982,             0.00057867,             0.00057867,             0.00057867
                     53,                0.82024,                0.97193,                 1.2438,                0.72903,                0.63546,                0.73526,                0.57945,                 0.8908,                 1.2525,                 1.3746,             0.00057487,             0.00057487,             0.00057487
                     54,                 0.8105,                0.96879,                 1.2422,                0.80575,                0.64303,                0.75794,                0.59685,                 0.8807,                 1.1814,                  1.375,             0.00057106,             0.00057106,             0.00057106
                     55,                 0.8281,                0.96342,                 1.2544,                 0.8144,                0.63425,                0.76071,                0.60118,                0.88789,                  1.198,                 1.3759,             0.00056725,             0.00056725,             0.00056725
                     56,                0.81351,                0.96262,                 1.2465,                0.76428,                0.64611,                 0.7504,                0.59511,                0.89019,                 1.1729,                 1.3702,             0.00056345,             0.00056345,             0.00056345
                     57,                0.79385,                0.90769,                 1.2322,                 0.7816,                0.67561,                0.76188,                0.60752,                0.88273,                 1.2089,                 1.3711,             0.00055964,             0.00055964,             0.00055964
                     58,                0.79841,                0.93083,                 1.2314,                0.78392,                0.68542,                0.77466,                0.61376,                0.88449,                 1.1649,                 1.3594,             0.00055583,             0.00055583,             0.00055583
                     59,                0.83451,                0.94701,                  1.251,                  0.768,                0.67853,                0.76904,                0.60636,                0.88455,                 1.1621,                 1.3653,             0.00055203,             0.00055203,             0.00055203
                     60,                0.76787,                0.87739,                 1.2131,                0.75347,                0.69665,                0.77259,                0.60562,                0.89949,                 1.1739,                 1.3807,             0.00054822,             0.00054822,             0.00054822
                     61,                0.77713,                0.89063,                 1.2175,                0.79792,                 0.6688,                0.76725,                0.60803,                0.87102,                 1.1987,                 1.3481,             0.00054441,             0.00054441,             0.00054441
                     62,                0.80698,                 0.9039,                 1.2312,                0.78064,                0.67878,                 0.7654,                0.60785,                 0.8657,                 1.1574,                 1.3536,             0.00054061,             0.00054061,             0.00054061
                     63,                0.78465,                0.89819,                 1.2251,                0.78577,                0.65089,                0.75137,                0.59049,                0.87946,                 1.2236,                 1.3617,              0.0005368,              0.0005368,              0.0005368
                     64,                0.77144,                0.89317,                 1.2263,                0.80027,                0.63068,                0.74915,                0.59768,                0.87168,                 1.2053,                 1.3432,             0.00053299,             0.00053299,             0.00053299
                     65,                0.81061,                0.90179,                 1.2317,                0.81665,                0.65458,                0.76913,                0.60793,                0.89295,                 1.1382,                 1.3803,             0.00052919,             0.00052919,             0.00052919
                     66,                0.80389,                0.89028,                 1.2167,                0.79694,                0.65084,                0.76436,                0.60304,                0.89094,                 1.1662,                  1.372,             0.00052538,             0.00052538,             0.00052538
                     67,                0.77472,                0.87191,                 1.2148,                0.78834,                0.67382,                0.77153,                0.61178,                0.88553,                  1.154,                 1.3604,             0.00052157,             0.00052157,             0.00052157
                     68,                0.77438,                0.86136,                 1.2063,                0.78537,                0.67658,                0.77418,                0.61063,                0.86934,                 1.1639,                 1.3536,             0.00051777,             0.00051777,             0.00051777
                     69,                0.76481,                0.83944,                 1.2065,                0.77991,                0.69161,                0.77634,                0.62013,                0.86786,                 1.1498,                 1.3502,             0.00051396,             0.00051396,             0.00051396
                     70,                0.74481,                0.85786,                 1.2008,                0.80975,                0.68444,                0.78895,                0.62835,                0.86241,                 1.1195,                 1.3429,             0.00051015,             0.00051015,             0.00051015
                     71,                0.76439,                0.86644,                 1.2234,                0.80943,                0.66446,                0.76327,                0.60804,                0.86908,                 1.1462,                 1.3451,             0.00050635,             0.00050635,             0.00050635
                     72,                0.79875,                0.86694,                 1.2268,                0.82834,                0.67947,                0.79305,                0.63024,                0.86636,                 1.1039,                 1.3492,             0.00050254,             0.00050254,             0.00050254
                     73,                0.75855,                 0.8335,                 1.2015,                0.82153,                0.66751,                0.78381,                0.62716,                0.86393,                 1.1139,                 1.3435,             0.00049873,             0.00049873,             0.00049873
                     74,                 0.7939,                0.85821,                 1.2184,                  0.784,                0.68737,                0.77747,                0.61667,                0.87288,                 1.1322,                 1.3533,             0.00049493,             0.00049493,             0.00049493
                     75,                0.74579,                0.82545,                 1.2099,                0.79412,                0.70893,                 0.7951,                0.63454,                0.86151,                 1.0854,                 1.3488,             0.00049112,             0.00049112,             0.00049112
                     76,                0.76424,                0.82903,                 1.2072,                0.78301,                0.68482,                0.77797,                  0.625,                0.86678,                 1.1375,                 1.3484,             0.00048732,             0.00048732,             0.00048732
                     77,                0.75893,                0.82388,                 1.2078,                0.80766,                0.68921,                0.79213,                0.63339,                0.87272,                 1.1015,                 1.3558,             0.00048351,             0.00048351,             0.00048351
