                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81763,                 1.8145,                 1.1395,                0.79274,                0.74006,                0.82874,                0.69586,                0.66537,                  1.093,                 1.0839,             0.00025501,             0.00025501,             0.00025501
                      2,                0.74783,                0.99441,                 1.0923,                 0.7718,                0.78282,                0.84675,                0.69712,                0.72729,                0.91784,                  1.156,             0.00050881,             0.00050881,             0.00050881
                      3,                0.75119,                0.93478,                 1.1011,                0.80995,                0.76838,                0.85283,                0.69564,                0.77815,                0.95069,                 1.2255,             0.00076008,             0.00076008,             0.00076008
                      4,                0.73709,                0.88157,                 1.1019,                0.82256,                0.73331,                0.82224,                0.67886,                 0.7535,                  1.073,                 1.1967,             0.00075758,             0.00075758,             0.00075758
                      5,                0.73909,                0.86087,                 1.0953,                0.83966,                0.77739,                0.87015,                 0.7293,                 0.7018,                0.88347,                 1.1553,             0.00075758,             0.00075758,             0.00075758
                      6,                0.71688,                  0.826,                 1.0898,                0.83698,                0.77811,                0.87532,                0.73773,                0.69525,                0.89022,                  1.129,             0.00075377,             0.00075377,             0.00075377
                      7,                0.71009,                0.81298,                 1.0882,                 0.8056,                0.80209,                0.88039,                0.74086,                 0.6911,                0.83464,                 1.1341,             0.00074997,             0.00074997,             0.00074997
                      8,                0.71397,                 0.7819,                 1.0881,                0.84492,                0.80213,                0.88187,                 0.7412,                0.70383,                0.85302,                 1.1472,             0.00074616,             0.00074616,             0.00074616
                      9,                0.68656,                0.73799,                 1.0725,                0.83506,                0.80623,                0.87855,                0.74315,                0.68022,                0.77629,                 1.1154,             0.00074235,             0.00074235,             0.00074235
                     10,                0.67754,                 0.7219,                 1.0694,                0.86598,                0.82201,                0.91708,                0.78109,                0.65746,                0.68022,                 1.1017,             0.00073855,             0.00073855,             0.00073855
