                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1205,                 2.3184,                 1.3063,                0.60179,                0.59186,                0.61395,                0.42567,                 1.0229,                 1.5917,                  1.392,             0.00025501,             0.00025501,             0.00025501
                      2,                 1.0842,                 1.5485,                 1.2727,                 0.6297,                  0.649,                0.66999,                0.47012,                 1.0023,                 1.3654,                 1.3665,             0.00050881,             0.00050881,             0.00050881
                      3,                  1.059,                 1.4518,                 1.2653,                0.67987,                0.65487,                0.70853,                0.50071,                0.99058,                 1.2964,                 1.3542,             0.00076008,             0.00076008,             0.00076008
                      4,                 1.0357,                 1.3835,                 1.2504,                0.67502,                0.67838,                  0.715,                0.50812,                0.98158,                 1.2653,                 1.3633,             0.00075758,             0.00075758,             0.00075758
                      5,                 1.0377,                 1.3607,                 1.2528,                0.67107,                0.67624,                0.73528,                 0.5174,                 1.0082,                 1.2068,                 1.3869,             0.00075758,             0.00075758,             0.00075758
                      6,                 1.0239,                  1.319,                 1.2494,                 0.6939,                0.68511,                0.74879,                0.53548,                0.97508,                 1.1847,                 1.3489,             0.00075377,             0.00075377,             0.00075377
                      7,                 1.0148,                 1.3049,                 1.2459,                0.71679,                0.67062,                0.74492,                0.53642,                0.96435,                 1.1728,                 1.3515,             0.00074997,             0.00074997,             0.00074997
                      8,                  1.017,                 1.2868,                 1.2461,                0.73805,                0.67068,                0.76136,                0.54826,                0.97106,                 1.1497,                 1.3511,             0.00074616,             0.00074616,             0.00074616
                      9,                0.99963,                  1.243,                 1.2341,                0.71464,                0.68617,                0.75326,                0.54182,                 0.9699,                 1.1399,                 1.3426,             0.00074235,             0.00074235,             0.00074235
                     10,                0.98765,                 1.2365,                 1.2298,                0.70221,                0.70007,                0.75627,                0.54852,                0.95624,                 1.1032,                 1.3336,             0.00073855,             0.00073855,             0.00073855
                     11,                 0.9907,                 1.2297,                 1.2345,                 0.7251,                 0.7057,                0.76811,                0.55796,                0.96137,                 1.1136,                 1.3347,             0.00073474,             0.00073474,             0.00073474
                     12,                 0.9977,                 1.2137,                 1.2361,                0.72374,                0.71903,                 0.7828,                0.56623,                0.97364,                 1.0782,                 1.3459,             0.00073093,             0.00073093,             0.00073093
                     13,                0.99116,                 1.2214,                 1.2322,                0.72658,                0.70797,                0.78424,                0.57528,                 0.9385,                 1.1038,                 1.3256,             0.00072713,             0.00072713,             0.00072713
                     14,                0.97817,                  1.203,                 1.2309,                 0.7348,                0.70475,                0.77757,                0.56663,                0.94752,                 1.0725,                 1.3239,             0.00072332,             0.00072332,             0.00072332
                     15,                0.98337,                 1.2036,                 1.2325,                0.72018,                0.72429,                 0.7862,                0.57169,                0.94578,                  1.067,                 1.3266,             0.00071951,             0.00071951,             0.00071951
                     16,                0.98367,                 1.1931,                 1.2317,                0.70899,                0.73218,                0.78235,                0.56981,                0.94497,                 1.1019,                 1.3266,             0.00071571,             0.00071571,             0.00071571
                     17,                 0.9807,                 1.1852,                 1.2304,                0.72194,                0.72895,                0.79528,                0.57821,                0.94275,                 1.0653,                 1.3306,              0.0007119,              0.0007119,              0.0007119
                     18,                0.97515,                 1.1708,                 1.2291,                 0.7216,                0.72429,                0.77813,                0.57342,                0.92698,                 1.0641,                 1.3152,              0.0007081,              0.0007081,              0.0007081
                     19,                0.97907,                 1.1676,                 1.2259,                0.75225,                0.73427,                0.81104,                0.59556,                0.92798,                  1.018,                 1.3074,             0.00070429,             0.00070429,             0.00070429
                     20,                0.97442,                 1.1654,                 1.2278,                0.74684,                0.70994,                0.79815,                0.58941,                0.93042,                 1.0435,                 1.3142,             0.00070048,             0.00070048,             0.00070048
                     21,                0.96783,                 1.1411,                 1.2208,                0.73551,                 0.7317,                0.79913,                0.58659,                0.93247,                 1.0209,                  1.317,             0.00069668,             0.00069668,             0.00069668
                     22,                0.96839,                  1.147,                 1.2258,                 0.7325,                0.74914,                 0.8064,                0.58965,                0.94816,                 1.0202,                 1.3279,             0.00069287,             0.00069287,             0.00069287
                     23,                0.96996,                 1.1478,                 1.2274,                0.74721,                0.73027,                0.80442,                0.59083,                0.92418,                 1.0234,                 1.3168,             0.00068906,             0.00068906,             0.00068906
                     24,                0.96733,                 1.1455,                 1.2264,                0.75707,                0.73406,                0.80854,                0.58987,                0.94474,                 1.0279,                 1.3305,             0.00068526,             0.00068526,             0.00068526
                     25,                0.96855,                 1.1394,                 1.2285,                0.73374,                0.75399,                0.80107,                0.58572,                0.94503,                 1.0064,                 1.3261,             0.00068145,             0.00068145,             0.00068145
                     26,                0.95325,                 1.1392,                 1.2214,                0.74522,                 0.7335,                0.79807,                0.59194,                0.93053,                 1.0148,                  1.315,             0.00067764,             0.00067764,             0.00067764
                     27,                0.95108,                 1.1275,                 1.2152,                0.75155,                 0.7362,                0.81138,                0.59754,                0.94544,                0.99951,                 1.3313,             0.00067384,             0.00067384,             0.00067384
                     28,                0.95213,                 1.1123,                 1.2153,                0.71685,                 0.7695,                0.80534,                0.59362,                0.92963,                  1.007,                 1.3173,             0.00067003,             0.00067003,             0.00067003
