                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.86584,                 2.0196,                 1.1692,                0.69498,                0.68957,                0.75662,                 0.6238,                0.69971,                 1.2379,                  1.128,             0.00025501,             0.00025501,             0.00025501
                      2,                0.76864,                 1.1434,                 1.0994,                0.76968,                0.74362,                0.82225,                0.67637,                 0.6953,                0.98429,                 1.1283,             0.00050881,             0.00050881,             0.00050881
                      3,                0.74932,                 1.0081,                 1.0962,                0.80721,                0.75413,                0.84739,                0.70731,                 0.7049,                0.91745,                 1.1325,             0.00076008,             0.00076008,             0.00076008
                      4,                0.72941,                 0.9196,                 1.0879,                0.80798,                0.77236,                0.86157,                0.71695,                0.69064,                0.87845,                 1.1318,             0.00075758,             0.00075758,             0.00075758
                      5,                0.72978,                0.88534,                 1.0878,                0.80746,                0.79797,                0.87539,                0.73878,                0.67087,                 0.8082,                 1.1189,             0.00075758,             0.00075758,             0.00075758
                      6,                0.71069,                0.82929,                 1.0798,                0.83252,                0.79408,                0.88415,                0.74284,                0.69183,                 0.8229,                 1.1285,             0.00075377,             0.00075377,             0.00075377
                      7,                0.69976,                0.80303,                 1.0763,                0.82065,                0.80586,                0.88511,                0.74211,                0.68163,                0.80755,                 1.1165,             0.00074997,             0.00074997,             0.00074997
                      8,                0.69625,                0.76977,                 1.0721,                0.86289,                0.83141,                0.90741,                 0.7741,                 0.6619,                0.73591,                 1.1071,             0.00074616,             0.00074616,             0.00074616
                      9,                0.68102,                 0.7376,                 1.0585,                0.83368,                0.84723,                0.91157,                0.78131,                0.64416,                0.72165,                 1.0881,             0.00074235,             0.00074235,             0.00074235
                     10,                 0.6638,                0.71664,                  1.054,                 0.8149,                0.82517,                0.89256,                0.76696,                0.65663,                0.73921,                 1.0924,             0.00073855,             0.00073855,             0.00073855
                     11,                0.66343,                0.70195,                 1.0585,                0.85604,                0.83681,                0.91095,                  0.782,                0.65274,                0.71034,                 1.0958,             0.00073474,             0.00073474,             0.00073474
                     12,                0.66012,                0.69153,                  1.052,                 0.8719,                 0.8201,                 0.9146,                 0.7737,                0.70273,                0.73336,                 1.1442,             0.00073093,             0.00073093,             0.00073093
                     13,                0.65522,                0.67801,                 1.0463,                0.85097,                0.83145,                0.91045,                0.78573,                0.63469,                0.70232,                 1.0736,             0.00072713,             0.00072713,             0.00072713
                     14,                0.65536,                0.67206,                 1.0512,                0.85672,                 0.8237,                0.91158,                 0.7856,                0.64635,                0.69705,                 1.0916,             0.00072332,             0.00072332,             0.00072332
                     15,                0.63967,                0.65988,                 1.0429,                0.86019,                0.84724,                0.91626,                 0.7968,                0.61569,                0.65563,                 1.0618,             0.00071951,             0.00071951,             0.00071951
                     16,                0.64568,                0.66184,                 1.0419,                0.85163,                0.84719,                0.91961,                0.79582,                0.62766,                0.66177,                 1.0695,             0.00071571,             0.00071571,             0.00071571
                     17,                0.63701,                0.63571,                 1.0394,                0.86052,                0.84218,                0.91209,                0.78749,                0.64044,                0.69029,                 1.0861,              0.0007119,              0.0007119,              0.0007119
                     18,                0.63147,                0.63672,                 1.0398,                0.86882,                0.83746,                0.92228,                0.80208,                0.63584,                0.65461,                 1.0763,              0.0007081,              0.0007081,              0.0007081
