                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.87317,                 2.0814,                 1.2162,                0.70774,                0.60251,                0.68575,                0.54899,                0.80195,                 1.5109,                  1.248,             0.00025501,             0.00025501,             0.00025501
                      2,                 0.8181,                 1.2361,                 1.1498,                0.71402,                0.62972,                0.70358,                0.53761,                0.96066,                  1.591,                 1.4006,             0.00050881,             0.00050881,             0.00050881
                      3,                0.81835,                 1.1264,                 1.1511,                0.76339,                0.64276,                0.73736,                0.58391,                0.86997,                 1.3641,                 1.3206,             0.00076008,             0.00076008,             0.00076008
                      4,                0.80257,                   1.05,                  1.147,                0.80761,                0.68943,                0.80581,                  0.642,                0.86008,                 1.1237,                 1.2895,             0.00075758,             0.00075758,             0.00075758
                      5,                0.80052,                 1.0173,                  1.141,                0.80341,                0.72775,                0.82359,                0.67345,                0.80333,                 1.0451,                 1.2633,             0.00075758,             0.00075758,             0.00075758
                      6,                0.76263,                 0.9315,                  1.122,                0.80139,                 0.7117,                0.82412,                0.66568,                0.81307,                 1.0162,                 1.2479,             0.00075377,             0.00075377,             0.00075377
                      7,                 0.7519,                0.90906,                 1.1183,                0.78911,                0.72771,                0.82855,                0.68535,                0.75459,                 1.0268,                 1.2149,             0.00074997,             0.00074997,             0.00074997
                      8,                0.74995,                0.88192,                 1.1163,                0.80943,                0.76346,                0.86227,                0.70201,                0.79119,                0.93898,                 1.2362,             0.00074616,             0.00074616,             0.00074616
                      9,                0.73035,                0.82238,                 1.1009,                0.80182,                0.77076,                 0.8598,                0.71243,                0.76026,                0.89003,                 1.1964,             0.00074235,             0.00074235,             0.00074235
                     10,                0.70996,                0.80592,                  1.093,                0.81255,                0.75644,                0.84475,                0.70777,                0.72775,                0.93749,                 1.1719,             0.00073855,             0.00073855,             0.00073855
                     11,                0.70016,                0.78696,                 1.0914,                0.83125,                0.80104,                0.88503,                0.74336,                0.72546,                 0.7985,                 1.1671,             0.00073474,             0.00073474,             0.00073474
                     12,                0.70158,                0.76982,                 1.0868,                0.81391,                0.79823,                0.88185,                0.74567,                0.69206,                0.79313,                 1.1413,             0.00073093,             0.00073093,             0.00073093
                     13,                0.69705,                0.76492,                 1.0853,                0.84595,                0.78428,                0.88531,                 0.7578,                0.66947,                0.77987,                 1.1149,             0.00072713,             0.00072713,             0.00072713
                     14,                0.69213,                0.76005,                 1.0829,                0.85469,                0.81132,                0.89958,                0.76756,                0.65886,                0.74969,                 1.1135,             0.00072332,             0.00072332,             0.00072332
                     15,                0.67201,                0.73141,                 1.0735,                0.82158,                0.79322,                0.88037,                0.74367,                0.69779,                 0.7973,                 1.1417,             0.00071951,             0.00071951,             0.00071951
                     16,                0.68269,                0.72151,                 1.0735,                0.84833,                0.81328,                 0.9078,                0.77693,                0.66406,                0.72031,                 1.1157,             0.00071571,             0.00071571,             0.00071571
                     17,                0.67111,                0.70363,                 1.0698,                0.81654,                0.84482,                0.90099,                0.77302,                0.65704,                 0.7429,                 1.0981,              0.0007119,              0.0007119,              0.0007119
