                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.873,                 3.9985,                 3.7795,                 0.3861,                0.15756,                 0.0875,                0.03326,                 2.4522,                 4.0097,                 3.3848,             0.00025501,             0.00025501,             0.00025501
                      2,                 2.0205,                 2.9754,                 2.6305,                0.21462,                0.27845,                 0.1656,                0.09116,                 1.7585,                  3.724,                 2.6221,             0.00050881,             0.00050881,             0.00050881
                      3,                 1.6165,                 2.5409,                 2.1569,                0.32087,                0.35975,                0.29267,                 0.1849,                 1.5146,                 2.8907,                 2.2927,             0.00076008,             0.00076008,             0.00076008
                      4,                 1.4037,                 2.2767,                 1.9457,                0.45622,                0.38568,                0.35799,                0.25429,                 1.3571,                 2.4388,                 2.1093,             0.00075758,             0.00075758,             0.00075758
                      5,                 1.3084,                 2.1242,                 1.8355,                0.49702,                0.43815,                0.42739,                0.30409,                 1.2549,                 2.2576,                 1.9644,             0.00075758,             0.00075758,             0.00075758
                      6,                 1.2203,                 1.9633,                 1.7437,                0.53673,                0.45249,                0.43814,                 0.3163,                 1.2189,                 2.2919,                 1.9504,             0.00075377,             0.00075377,             0.00075377
                      7,                 1.1704,                 1.8625,                 1.6938,                0.49451,                0.46097,                0.44965,                0.33414,                 1.1673,                 2.1022,                 1.8701,             0.00074997,             0.00074997,             0.00074997
                      8,                 1.1422,                 1.7954,                 1.6593,                0.60187,                 0.4908,                0.52658,                0.40145,                 1.1044,                 1.8723,                 1.7515,             0.00074616,             0.00074616,             0.00074616
                      9,                 1.0855,                 1.6609,                 1.6081,                0.61725,                0.47818,                0.50603,                 0.3842,                 1.0562,                 1.9432,                 1.6774,             0.00074235,             0.00074235,             0.00074235
                     10,                 1.0497,                 1.6329,                 1.5688,                0.67903,                0.48873,                0.56322,                0.42453,                 1.0574,                 1.7212,                 1.6683,             0.00073855,             0.00073855,             0.00073855
                     11,                 1.0301,                 1.5493,                 1.5453,                0.67922,                0.53211,                0.62323,                0.48692,                0.98139,                 1.5468,                 1.5993,             0.00073474,             0.00073474,             0.00073474
                     12,                 1.0076,                 1.4943,                 1.5175,                0.66557,                0.52192,                0.57715,                0.44508,                0.99095,                 1.6619,                 1.6045,             0.00073093,             0.00073093,             0.00073093
                     13,                  1.004,                 1.4574,                 1.5054,                0.69663,                0.57042,                0.66047,                0.52452,                0.93653,                 1.5141,                 1.5414,             0.00072713,             0.00072713,             0.00072713
                     14,                0.98246,                 1.4224,                 1.4896,                0.71945,                0.55994,                0.67647,                0.53091,                0.93521,                 1.4802,                 1.5346,             0.00072332,             0.00072332,             0.00072332
                     15,                0.93582,                 1.3413,                 1.4463,                0.72256,                0.61953,                0.69815,                 0.5603,                0.87296,                 1.3453,                 1.4727,             0.00071951,             0.00071951,             0.00071951
                     16,                0.95994,                   1.34,                 1.4635,                 0.6731,                0.62963,                0.71106,                0.56715,                0.88997,                 1.3038,                 1.4781,             0.00071571,             0.00071571,             0.00071571
                     17,                0.93484,                 1.2922,                 1.4385,                0.73573,                0.62678,                0.72991,                0.57449,                0.91273,                 1.2986,                 1.5082,              0.0007119,              0.0007119,              0.0007119
                     18,                0.91945,                 1.2368,                 1.4289,                0.78027,                0.59222,                0.70256,                0.56432,                0.86708,                 1.4193,                 1.4504,              0.0007081,              0.0007081,              0.0007081
                     19,                0.91794,                 1.2378,                 1.4212,                 0.7901,                0.63923,                0.76935,                0.61259,                0.88152,                 1.2086,                 1.4562,             0.00070429,             0.00070429,             0.00070429
                     20,                0.89823,                  1.187,                 1.4015,                0.79018,                0.65673,                0.76344,                 0.6111,                0.87059,                 1.2926,                 1.4491,             0.00070048,             0.00070048,             0.00070048
                     21,                0.89061,                 1.1518,                 1.3978,                0.79352,                0.67863,                0.79859,                0.64225,                0.84129,                 1.0692,                 1.4288,             0.00069668,             0.00069668,             0.00069668
                     22,                  0.869,                 1.0988,                 1.3824,                 0.7859,                0.67215,                0.77403,                0.62765,                0.82844,                 1.1731,                 1.4171,             0.00069287,             0.00069287,             0.00069287
                     23,                0.87198,                 1.0976,                  1.381,                0.78093,                0.67932,                0.79305,                0.63917,                0.82499,                 1.1096,                 1.3983,             0.00068906,             0.00068906,             0.00068906
                     24,                0.87245,                 1.1111,                 1.3819,                0.81398,                0.69256,                0.81208,                0.66572,                0.80657,                 1.0634,                 1.3934,             0.00068526,             0.00068526,             0.00068526
                     25,                0.86774,                 1.0813,                 1.3714,                0.75383,                0.72385,                0.80317,                0.65192,                0.81381,                 1.0415,                  1.385,             0.00068145,             0.00068145,             0.00068145
                     26,                0.84567,                 1.0657,                 1.3614,                0.82941,                0.67663,                0.81829,                0.67582,                0.77197,                 1.0478,                  1.348,             0.00067764,             0.00067764,             0.00067764
                     27,                0.83179,                 1.0262,                 1.3439,                0.80857,                0.72852,                0.84549,                0.69452,                 0.7832,                0.94428,                 1.3509,             0.00067384,             0.00067384,             0.00067384
                     28,                0.83243,                 1.0128,                 1.3437,                0.81355,                0.72803,                0.83248,                0.68181,                 0.8022,                0.97262,                 1.3694,             0.00067003,             0.00067003,             0.00067003
                     29,                0.83723,                 1.0196,                 1.3429,                0.79008,                0.73795,                0.83557,                0.68903,                 0.7708,                0.96992,                 1.3227,             0.00066622,             0.00066622,             0.00066622
                     30,                 0.8255,                0.99331,                 1.3299,                0.85681,                  0.708,                0.85401,                0.71126,                0.75513,                0.93041,                 1.3252,             0.00066242,             0.00066242,             0.00066242
                     31,                0.81696,                 0.9738,                 1.3231,                0.83232,                0.74637,                 0.8593,                0.71734,                0.73399,                 0.8749,                 1.2999,             0.00065861,             0.00065861,             0.00065861
                     32,                0.81333,                0.94714,                   1.32,                 0.7963,                0.77243,                0.85644,                0.71522,                0.72218,                0.90119,                 1.2891,              0.0006548,              0.0006548,              0.0006548
                     33,                0.79535,                0.92963,                 1.3074,                0.80962,                0.73775,                0.84833,                0.70434,                0.75048,                0.95629,                 1.3102,               0.000651,               0.000651,               0.000651
                     34,                0.80248,                0.92446,                 1.3153,                0.83255,                0.77079,                0.86792,                0.72754,                0.72171,                   0.87,                 1.2802,             0.00064719,             0.00064719,             0.00064719
                     35,                0.79294,                0.91359,                 1.3071,                0.81945,                0.78365,                0.87041,                0.73083,                0.73017,                 0.8564,                 1.2939,             0.00064338,             0.00064338,             0.00064338
                     36,                0.78129,                0.90633,                 1.3003,                0.83492,                0.73162,                0.85348,                0.71417,                 0.7237,                0.99205,                 1.2863,             0.00063958,             0.00063958,             0.00063958
                     37,                0.78483,                0.89391,                 1.2949,                0.84515,                0.78248,                0.88015,                0.74023,                0.70039,                0.82158,                 1.2577,             0.00063577,             0.00063577,             0.00063577
