                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4081,                  3.843,                 1.6102,                 0.2106,                0.28901,                0.19517,                0.15032,                 1.0242,                 3.3929,                 1.4621,             9.7324e-05,             9.7324e-05,             9.7324e-05
                      2,                 1.2659,                 2.7746,                 1.4248,                0.45929,                 0.3507,                0.33611,                0.25004,                 1.0732,                 2.5406,                 1.5498,             0.00019436,             0.00019436,             0.00019436
                      3,                 1.2722,                 2.4987,                 1.4183,                 0.3614,                0.46215,                0.37943,                0.27997,                 1.1057,                 2.2168,                 1.5526,             0.00029042,             0.00029042,             0.00029042
                      4,                 1.2775,                  2.285,                 1.4161,                0.36535,                0.39559,                0.38062,                0.27374,                 1.1207,                 2.1791,                  1.529,             0.00028963,             0.00028963,             0.00028963
                      5,                 1.2741,                 2.1737,                 1.4211,                0.42663,                0.44076,                0.38776,                0.27885,                 1.1063,                   2.13,                 1.5326,             0.00028963,             0.00028963,             0.00028963
                      6,                 1.2369,                   2.02,                 1.3812,                0.44081,                0.46265,                 0.4341,                0.31998,                 1.0787,                 1.9181,                 1.5013,             0.00028818,             0.00028818,             0.00028818
                      7,                 1.2241,                 1.9815,                 1.3874,                0.37707,                0.52061,                0.43398,                0.31775,                 1.1212,                  2.004,                 1.5065,             0.00028672,             0.00028672,             0.00028672
                      8,                 1.2138,                 1.8767,                  1.383,                0.40279,                0.49152,                0.47785,                0.35833,                 1.0911,                 1.8959,                 1.5142,             0.00028527,             0.00028527,             0.00028527
                      9,                 1.2115,                 1.8422,                 1.3798,                0.43258,                0.59513,                0.52033,                0.39678,                 1.0694,                 1.7368,                 1.4896,             0.00028381,             0.00028381,             0.00028381
                     10,                 1.1844,                 1.8007,                  1.373,                0.43808,                0.54318,                0.50288,                0.36613,                 1.0872,                 1.7642,                 1.5007,             0.00028236,             0.00028236,             0.00028236
                     11,                 1.1822,                 1.7181,                 1.3637,                0.39831,                 0.5365,                0.46535,                0.35093,                 1.0441,                 1.9379,                 1.4565,              0.0002809,              0.0002809,              0.0002809
                     12,                 1.1573,                 1.6767,                 1.3446,                0.41093,                0.54437,                0.50487,                0.37654,                 1.0501,                 1.6813,                 1.4564,             0.00027945,             0.00027945,             0.00027945
