                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9185,                 4.4671,                 2.2264,                0.50491,                0.06179,                0.02672,                0.00987,                 2.0701,                  3.827,                 2.3325,             0.00017409,             0.00017409,             0.00017409
                      2,                 1.7976,                  3.597,                 2.0383,                0.56855,                0.11506,                0.07459,                0.02804,                 2.0443,                 3.1978,                 2.3144,             0.00034769,             0.00034769,             0.00034769
                      3,                 1.7863,                 3.1865,                 2.0249,                0.59239,                0.13725,                0.10349,                0.03999,                 2.0657,                 2.9467,                 2.3548,             0.00051956,             0.00051956,             0.00051956
                      4,                 1.7637,                 3.0022,                 2.0063,                0.40823,                0.18941,                0.13357,                0.05263,                 2.0305,                 2.8358,                 2.3053,             0.00051819,             0.00051819,             0.00051819
                      5,                 1.7253,                 2.8432,                 1.9971,                0.41295,                0.20443,                0.13773,                0.05526,                 2.0558,                 2.7081,                 2.3345,             0.00051819,             0.00051819,             0.00051819
                      6,                 1.7089,                 2.7019,                 1.9556,                0.58346,                0.19113,                0.15299,                0.06292,                 2.0437,                 2.6467,                 2.3251,             0.00051559,             0.00051559,             0.00051559
                      7,                 1.6975,                   2.62,                 1.9609,                0.53006,                0.20171,                0.17113,                  0.073,                 1.9804,                 2.6198,                 2.2626,             0.00051298,             0.00051298,             0.00051298
                      8,                 1.6913,                 2.5413,                   1.95,                0.40332,                0.21117,                0.18251,                 0.0733,                 2.0393,                 2.5592,                 2.2913,             0.00051038,             0.00051038,             0.00051038
                      9,                  1.662,                 2.4595,                 1.9229,                 0.2506,                0.27182,                0.18147,                0.07333,                 2.0225,                  2.558,                 2.2844,             0.00050777,             0.00050777,             0.00050777
                     10,                 1.6602,                 2.4002,                 1.9188,                0.35158,                0.23952,                0.19646,                0.07887,                 2.0908,                 2.5264,                  2.338,             0.00050517,             0.00050517,             0.00050517
                     11,                 1.6528,                 2.3203,                  1.922,                0.37901,                 0.2459,                0.20661,                0.08462,                 2.0216,                  2.437,                 2.2882,             0.00050257,             0.00050257,             0.00050257
                     12,                 1.6608,                 2.3219,                 1.9151,                0.38421,                0.22421,                0.18196,                0.06922,                 2.0974,                 2.6053,                 2.3821,             0.00049996,             0.00049996,             0.00049996
                     13,                 1.6382,                 2.2422,                 1.9093,                0.27983,                0.24413,                0.18646,                0.07668,                   2.04,                 2.4808,                 2.3182,             0.00049736,             0.00049736,             0.00049736
                     14,                 1.6199,                 2.1897,                 1.8762,                0.36688,                0.25611,                0.21468,                0.08737,                 2.0445,                 2.4553,                 2.3003,             0.00049476,             0.00049476,             0.00049476
                     15,                 1.6277,                 2.1727,                 1.8896,                 0.4056,                0.25143,                0.21104,                0.08645,                 2.0516,                 2.4757,                 2.3188,             0.00049215,             0.00049215,             0.00049215
                     16,                 1.6125,                 2.1183,                 1.8781,                 0.2956,                0.27247,                 0.2173,                0.08497,                 2.1117,                 2.3804,                 2.3544,             0.00048955,             0.00048955,             0.00048955
                     17,                 1.6026,                 2.0817,                 1.8655,                0.34434,                0.23249,                0.20859,                0.08523,                 2.0544,                 2.4434,                 2.3333,             0.00048694,             0.00048694,             0.00048694
                     18,                 1.5857,                 2.0535,                 1.8635,                0.38523,                0.25976,                0.22153,                0.09427,                 2.0325,                 2.3313,                 2.2827,             0.00048434,             0.00048434,             0.00048434
                     19,                 1.5945,                 2.0355,                 1.8468,                0.25336,                0.24853,                0.21365,                0.09093,                 2.0017,                  2.478,                 2.2349,             0.00048174,             0.00048174,             0.00048174
                     20,                 1.5895,                 2.0026,                 1.8554,                0.22185,                0.30307,                 0.2311,                0.09642,                  2.074,                 2.3229,                 2.3363,             0.00047913,             0.00047913,             0.00047913
                     21,                 1.5775,                 1.9853,                 1.8537,                0.42378,                0.25031,                0.23831,                0.09924,                 2.0384,                 2.3673,                 2.3043,             0.00047653,             0.00047653,             0.00047653
                     22,                  1.572,                   1.95,                 1.8389,                0.35084,                0.23189,                0.22957,                0.09427,                 2.0859,                 2.3639,                 2.3355,             0.00047393,             0.00047393,             0.00047393
                     23,                 1.5672,                 1.8999,                 1.8308,                0.30701,                0.28426,                0.24485,                0.10306,                 2.0159,                 2.3229,                 2.2601,             0.00047132,             0.00047132,             0.00047132
                     24,                 1.5432,                 1.8671,                 1.8084,                0.48347,                0.23306,                0.23533,                0.10304,                 1.9983,                 2.2935,                 2.2794,             0.00046872,             0.00046872,             0.00046872
                     25,                 1.5624,                 1.8935,                 1.8313,                0.24571,                0.26307,                0.20061,                0.08808,                 2.0148,                 2.4354,                 2.2673,             0.00046611,             0.00046611,             0.00046611
                     26,                 1.5492,                 1.8363,                 1.8093,                0.35268,                0.26369,                0.25148,                0.10624,                 2.0801,                 2.3254,                   2.33,             0.00046351,             0.00046351,             0.00046351
                     27,                 1.5371,                 1.8449,                 1.8151,                0.30441,                0.30319,                0.24114,                0.09917,                 2.0668,                 2.3975,                 2.3338,             0.00046091,             0.00046091,             0.00046091
                     28,                 1.5234,                 1.7735,                 1.7931,                0.36989,                0.26936,                0.25832,                0.10839,                 2.1016,                 2.2705,                 2.3633,              0.0004583,              0.0004583,              0.0004583
                     29,                 1.5188,                 1.7573,                 1.7848,                0.36782,                0.26544,                0.25018,                0.11086,                  2.032,                 2.2746,                 2.2858,              0.0004557,              0.0004557,              0.0004557
                     30,                 1.5189,                 1.7441,                 1.7958,                0.39286,                0.28258,                0.22971,                0.10175,                 2.0626,                 2.4003,                 2.3171,              0.0004531,              0.0004531,              0.0004531
                     31,                 1.5187,                 1.7294,                 1.7906,                0.38962,                0.24457,                0.23769,                0.09919,                 2.1193,                 2.3556,                 2.3655,             0.00045049,             0.00045049,             0.00045049
                     32,                 1.4857,                 1.6869,                 1.7659,                0.34735,                0.29546,                0.24786,                0.11113,                 1.9853,                 2.3688,                 2.2333,             0.00044789,             0.00044789,             0.00044789
                     33,                 1.5097,                 1.7004,                 1.7781,                0.36992,                 0.3272,                0.24968,                0.10834,                  2.018,                 2.3192,                   2.26,             0.00044529,             0.00044529,             0.00044529
                     34,                 1.4916,                 1.6869,                 1.7718,                0.38789,                0.28528,                0.25125,                0.10743,                 2.1234,                 2.3744,                  2.391,             0.00044268,             0.00044268,             0.00044268
                     35,                 1.4874,                 1.6298,                 1.7629,                0.50015,                0.26788,                0.25181,                0.10576,                 2.0519,                 2.2879,                 2.3328,             0.00044008,             0.00044008,             0.00044008
