                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0816,                 4.3314,                 3.8288,                0.00342,                0.37712,                0.00775,                0.00407,                 2.6067,                 4.2559,                 3.7749,             0.00033229,             0.00033229,             0.00033229
                      2,                 2.4453,                 3.8258,                 2.9724,                0.44733,                0.10186,                0.06795,                0.02342,                 2.4031,                 3.6991,                 3.1546,             0.00065903,             0.00065903,             0.00065903
                      3,                 2.1867,                 3.4452,                 2.6851,                0.43413,                0.18625,                0.07652,                0.02614,                 2.3353,                 3.6692,                 3.1107,             0.00097918,             0.00097918,             0.00097918
                      4,                 2.1023,                 3.2094,                 2.5702,                0.48535,                0.20732,                0.12848,                0.04834,                 2.2599,                 3.4659,                 2.9207,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.0316,                 3.0449,                 2.5047,                0.55856,                 0.2163,                0.18316,                0.07403,                 2.1892,                 2.9487,                 2.9093,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.9938,                 2.8958,                 2.4444,                0.57326,                0.26368,                0.22902,                 0.0972,                 2.1326,                 2.7365,                 2.8204,              0.0009505,              0.0009505,              0.0009505
                      7,                 1.9752,                 2.8165,                 2.4173,                0.63177,                0.28822,                0.27368,                0.11634,                 2.0768,                 2.6712,                 2.7877,              0.0009406,              0.0009406,              0.0009406
                      8,                 1.9536,                 2.7357,                 2.3847,                0.53042,                  0.286,                0.26319,                0.10825,                  2.119,                 2.9308,                 2.8043,              0.0009307,              0.0009307,              0.0009307
                      9,                 1.9412,                 2.7076,                 2.3677,                 0.5333,                0.30778,                0.31195,                0.14368,                 2.1024,                 2.5865,                 2.7635,              0.0009208,              0.0009208,              0.0009208
                     10,                 1.9199,                 2.6403,                  2.343,                0.58066,                0.31909,                 0.3161,                0.14093,                 2.0883,                  2.559,                 2.7041,              0.0009109,              0.0009109,              0.0009109
                     11,                 1.8915,                 2.5565,                 2.3128,                0.65834,                 0.3226,                0.33803,                0.14754,                 2.0687,                 2.5135,                 2.7107,               0.000901,               0.000901,               0.000901
                     12,                 1.8821,                  2.545,                  2.306,                0.61691,                0.34782,                0.36835,                0.16553,                 2.0328,                 2.3652,                 2.6677,              0.0008911,              0.0008911,              0.0008911
                     13,                 1.8731,                 2.4945,                 2.2739,                0.59928,                0.31768,                0.32605,                0.14178,                 2.0532,                 2.4077,                 2.6557,              0.0008812,              0.0008812,              0.0008812
                     14,                 1.8766,                 2.4615,                 2.2676,                0.72121,                0.34685,                0.37605,                0.16846,                 2.0607,                 2.3139,                 2.6609,              0.0008713,              0.0008713,              0.0008713
                     15,                 1.8381,                 2.4078,                 2.2427,                 0.6006,                0.36564,                0.37729,                0.17033,                 2.0852,                 2.3041,                  2.662,              0.0008614,              0.0008614,              0.0008614
                     16,                 1.8378,                 2.4064,                  2.228,                0.64206,                 0.3706,                0.41127,                0.18535,                 2.0273,                 2.2735,                 2.6019,              0.0008515,              0.0008515,              0.0008515
                     17,                 1.8424,                 2.3622,                 2.2138,                0.63736,                0.38947,                0.42683,                0.19969,                 2.0192,                 2.1994,                 2.5954,              0.0008416,              0.0008416,              0.0008416
