                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3511,                 4.9331,                 4.1368,                0.20062,                 0.0429,                0.00177,                0.00043,                 3.2155,                 6.4135,                 4.0377,             0.00017409,             0.00017409,             0.00017409
                      2,                 3.1862,                 4.5458,                  3.749,                0.00161,                0.13356,                0.00327,                0.00093,                 2.9666,                 4.5667,                 3.5107,             0.00034769,             0.00034769,             0.00034769
                      3,                  2.741,                 4.2637,                 3.2454,                0.87417,                0.01875,                0.01127,                0.00303,                 2.6744,                 4.1806,                 3.4127,             0.00051956,             0.00051956,             0.00051956
                      4,                 2.4614,                 4.0344,                 2.9061,                0.49455,                0.03824,                0.01343,                0.00405,                  2.479,                 4.2274,                  3.066,             0.00051819,             0.00051819,             0.00051819
                      5,                 2.2544,                 3.8413,                 2.7097,                0.50077,                0.04407,                0.02191,                0.00762,                 2.3612,                 3.7878,                 2.8548,             0.00051819,             0.00051819,             0.00051819
                      6,                 2.1955,                 3.6717,                  2.593,                0.60076,                0.05219,                0.03706,                0.01245,                  2.226,                 3.6132,                 2.7378,             0.00051559,             0.00051559,             0.00051559
                      7,                 2.1116,                 3.5804,                 2.5237,                0.32375,                0.07188,                0.03893,                0.01347,                 2.2189,                  3.728,                  2.683,             0.00051298,             0.00051298,             0.00051298
                      8,                 2.0575,                 3.4659,                 2.4513,                0.53111,                0.10484,                0.05784,                 0.0211,                 2.1605,                 3.4814,                 2.5887,             0.00051038,             0.00051038,             0.00051038
                      9,                 2.0246,                 3.3785,                 2.4101,                0.34074,                0.08198,                0.04773,                  0.016,                 2.2535,                 3.4707,                 2.6644,             0.00050777,             0.00050777,             0.00050777
                     10,                 2.0065,                  3.313,                 2.3804,                0.30033,                0.13302,                0.07193,                0.02619,                 2.1594,                 3.3182,                  2.585,             0.00050517,             0.00050517,             0.00050517
                     11,                 1.9798,                 3.1923,                 2.3571,                0.39505,                0.15069,                0.08877,                0.03294,                 2.1406,                 3.2312,                 2.5562,             0.00050257,             0.00050257,             0.00050257
                     12,                 1.9737,                 3.1724,                 2.3291,                0.25606,                 0.1192,                0.08575,                0.03295,                 2.1401,                 3.1907,                 2.5375,             0.00049996,             0.00049996,             0.00049996
                     13,                 1.9467,                 3.0718,                 2.3002,                0.23736,                0.15648,                0.10023,                0.03656,                   2.13,                 3.2281,                 2.5307,             0.00049736,             0.00049736,             0.00049736
                     14,                  1.919,                 3.0152,                 2.2707,                  0.395,                0.13653,                0.08996,                0.03282,                 2.1568,                  3.107,                 2.5363,             0.00049476,             0.00049476,             0.00049476
                     15,                 1.9147,                  2.977,                  2.266,                0.26684,                0.16188,                0.10944,                0.03966,                 2.1405,                 2.9754,                 2.5363,             0.00049215,             0.00049215,             0.00049215
                     16,                 1.9061,                   2.94,                 2.2541,                0.33697,                0.18409,                0.10149,                0.03541,                 2.1894,                 3.2062,                 2.5878,             0.00048955,             0.00048955,             0.00048955
                     17,                 1.8979,                 2.8844,                 2.2406,                  0.297,                0.16229,                0.11199,                0.04344,                 2.0869,                 2.9121,                 2.4585,             0.00048694,             0.00048694,             0.00048694
                     18,                 1.8682,                   2.83,                 2.2285,                0.41627,                0.17407,                0.11106,                0.04382,                 2.1462,                 2.9465,                 2.5208,             0.00048434,             0.00048434,             0.00048434
                     19,                  1.873,                 2.8016,                 2.2095,                0.33657,                0.18172,                0.11715,                0.04517,                 2.1364,                 2.9173,                 2.5442,             0.00048174,             0.00048174,             0.00048174
                     20,                 1.8612,                 2.7645,                 2.1971,                0.30043,                0.20504,                0.12461,                0.04874,                 2.1043,                 2.8735,                 2.4965,             0.00047913,             0.00047913,             0.00047913
                     21,                 1.8447,                 2.7437,                  2.199,                0.36005,                0.16479,                0.13155,                0.05415,                 2.0555,                 2.8382,                 2.4445,             0.00047653,             0.00047653,             0.00047653
