                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3929,                 3.2797,                 1.7648,                0.19074,                 0.3191,                0.21458,                0.14094,                 1.2067,                  2.722,                 1.7657,             0.00025501,             0.00025501,             0.00025501
                      2,                 1.2082,                 2.3266,                 1.5806,                 0.4642,                0.47798,                0.43796,                0.31772,                 1.0989,                 2.0321,                 1.6217,             0.00050881,             0.00050881,             0.00050881
                      3,                 1.1158,                 1.9545,                 1.4893,                0.53093,                0.53082,                0.53519,                0.39401,                 1.0582,                 1.7716,                 1.5467,             0.00076008,             0.00076008,             0.00076008
                      4,                 1.0441,                 1.7111,                 1.4247,                 0.7019,                0.54188,                0.64906,                0.48321,                 1.0199,                 1.6163,                 1.5064,             0.00075758,             0.00075758,             0.00075758
                      5,                 1.0321,                 1.5871,                 1.4119,                0.71901,                0.60347,                0.69758,                0.51938,                0.99439,                 1.4543,                 1.4836,             0.00075758,             0.00075758,             0.00075758
                      6,                0.99509,                 1.4677,                 1.3808,                0.78172,                0.60902,                0.73074,                0.55857,                0.93489,                 1.3746,                 1.4469,             0.00075377,             0.00075377,             0.00075377
                      7,                0.96921,                 1.3986,                 1.3652,                0.73728,                0.62042,                0.71829,                0.54879,                0.93382,                 1.4001,                 1.4015,             0.00074997,             0.00074997,             0.00074997
                      8,                0.96413,                  1.363,                 1.3635,                0.75371,                0.66179,                0.75589,                0.58488,                0.90319,                 1.3092,                 1.3963,             0.00074616,             0.00074616,             0.00074616
                      9,                0.93079,                 1.2755,                 1.3364,                0.78715,                0.63168,                0.77147,                0.60365,                0.88624,                 1.2993,                 1.3656,             0.00074235,             0.00074235,             0.00074235
                     10,                0.90974,                 1.2338,                 1.3283,                0.79053,                0.67263,                0.78828,                 0.6254,                0.87279,                 1.1621,                 1.3512,             0.00073855,             0.00073855,             0.00073855
                     11,                0.89997,                 1.2054,                 1.3212,                0.77591,                0.67069,                0.78825,                 0.6281,                0.84488,                 1.1443,                 1.3251,             0.00073474,             0.00073474,             0.00073474
                     12,                0.89517,                 1.1825,                 1.3117,                0.78032,                0.66593,                0.78057,                 0.6245,                0.83834,                 1.1472,                 1.3294,             0.00073093,             0.00073093,             0.00073093
                     13,                0.89256,                 1.1569,                 1.3052,                0.81225,                0.69151,                0.80827,                0.64596,                0.83684,                 1.1075,                 1.3133,             0.00072713,             0.00072713,             0.00072713
                     14,                0.86933,                 1.1239,                 1.2922,                 0.8167,                0.70618,                0.81875,                0.65596,                0.82493,                 1.0628,                 1.2993,             0.00072332,             0.00072332,             0.00072332
                     15,                 0.8534,                 1.0922,                 1.2754,                0.82657,                0.72242,                0.83476,                0.67791,                 0.7939,                 1.0092,                 1.2762,             0.00071951,             0.00071951,             0.00071951
                     16,                0.86481,                 1.0942,                 1.2869,                0.83276,                0.71871,                0.84714,                0.68476,                0.80598,                0.99986,                 1.2904,             0.00071571,             0.00071571,             0.00071571
                     17,                0.84271,                 1.0513,                  1.271,                0.81368,                0.70937,                0.82753,                0.67019,                0.78468,                 0.9974,                  1.267,              0.0007119,              0.0007119,              0.0007119
                     18,                0.84677,                 1.0295,                 1.2734,                0.82227,                0.72913,                0.84423,                0.68969,                0.78154,                0.96505,                 1.2623,              0.0007081,              0.0007081,              0.0007081
                     19,                 0.8437,                 1.0293,                  1.266,                0.82005,                0.75814,                0.85684,                0.69314,                0.79899,                0.92248,                  1.277,             0.00070429,             0.00070429,             0.00070429
                     20,                0.81932,                0.99681,                  1.253,                 0.8463,                 0.7544,                0.86461,                0.70496,                   0.77,                0.90542,                 1.2588,             0.00070048,             0.00070048,             0.00070048
                     21,                 0.8193,                0.97662,                 1.2544,                 0.8528,                0.73621,                0.85752,                0.69595,                0.79586,                0.91258,                 1.2609,             0.00069668,             0.00069668,             0.00069668
                     22,                0.80514,                0.95543,                 1.2426,                0.81317,                0.77242,                0.87268,                0.71322,                0.77385,                0.89179,                 1.2491,             0.00069287,             0.00069287,             0.00069287
                     23,                0.80765,                0.95395,                 1.2462,                 0.8485,                 0.7908,                0.88169,                0.72127,                0.75932,                0.83632,                 1.2385,             0.00068906,             0.00068906,             0.00068906
                     24,                0.81544,                0.95334,                 1.2455,                0.85673,                0.75654,                0.88227,                0.72944,                0.74322,                0.85109,                 1.2143,             0.00068526,             0.00068526,             0.00068526
                     25,                0.80844,                0.94183,                  1.245,                0.83842,                0.75989,                0.86854,                0.71756,                0.74509,                0.84924,                 1.2179,             0.00068145,             0.00068145,             0.00068145
                     26,                 0.7891,                0.92647,                 1.2346,                0.84085,                0.78227,                 0.8839,                0.73445,                0.73724,                0.83337,                 1.2099,             0.00067764,             0.00067764,             0.00067764
                     27,                0.78536,                0.90371,                 1.2277,                0.82443,                0.81446,                0.89337,                0.74037,                0.72716,                0.77706,                 1.1967,             0.00067384,             0.00067384,             0.00067384
                     28,                0.78023,                0.88782,                 1.2243,                0.86707,                0.76689,                0.89151,                0.74144,                0.72847,                0.80377,                 1.1946,             0.00067003,             0.00067003,             0.00067003
                     29,                0.78259,                0.88378,                 1.2256,                0.83214,                  0.791,                0.88565,                 0.7399,                0.70587,                0.80886,                 1.1686,             0.00066622,             0.00066622,             0.00066622
                     30,                0.77747,                0.87185,                  1.219,                0.85021,                0.77844,                0.88433,                0.73838,                0.71394,                0.80221,                 1.1876,             0.00066242,             0.00066242,             0.00066242
                     31,                 0.7723,                0.85942,                 1.2167,                0.81981,                0.78872,                0.87794,                0.72984,                0.72976,                0.81735,                 1.2003,             0.00065861,             0.00065861,             0.00065861
                     32,                0.76782,                0.85842,                 1.2159,                0.85113,                0.80714,                0.89684,                0.74692,                0.71705,                0.76693,                 1.1821,              0.0006548,              0.0006548,              0.0006548
                     33,                0.75644,                 0.8312,                 1.2059,                0.86017,                0.77557,                0.88558,                 0.7432,                0.69984,                0.80465,                 1.1723,               0.000651,               0.000651,               0.000651
                     34,                0.76049,                0.82574,                 1.2094,                0.85047,                0.76821,                0.87849,                0.72807,                0.73986,                0.80545,                 1.2186,             0.00064719,             0.00064719,             0.00064719
                     35,                0.75468,                0.81426,                 1.2043,                0.85465,                0.80846,                0.90246,                0.76226,                0.69756,                0.73712,                 1.1692,             0.00064338,             0.00064338,             0.00064338
